SampleID	RS.Staphylococcus	RS.Escherichia_Shigella	RS.Enterococcus	RS.Corynebacterium	RS.Anaerococcus	RS.Prevotella	RS.Bacteroides	RS.Finegoldia	RS.Peptoniphilus	RS.Lactobacillus	RS.Porphyromonas	RS.Megasphaera	RS.Klebsiella	RS.Akkermansia	RS.Proteus
s121	0.626182019126746	-7.59107656539079	-2.91410264727372	-1.86278216294008	-5.00917764961548	-1.80179620417302	-2.80636646557062	-2.7023996783614	-3.506034395831	-5.41885329025999	-3.86672272308319	-8.17886323029291	-6.35431393824186	-9.78830114272701	-1.92695934712702
s122	-3.42119010371131	-0.869756564861979	-0.342026072024405	-4.2598327835694	-10.3259408736731	-10.3259408736731	-9.22732858500504	-1.90989486426187	-10.3259408736731	-5.06325068476826	-10.3259408736731	-10.3259408736731	-9.22732858500504	-9.22732858500504	-10.3259408736731
s123	-6.71922317223755	-0.861165801866718	-6.42073018368155	-6.14114532146239	-3.75664310600046	-4.71305383166404	-0.614721131283005	-5.68033011827106	-4.26000600856486	-9.8547173881667	-2.61981896785187	-1.91271057967684	-7.90880723911139	-4.77331302318224	-4.35345917762197
s124	0.0617273177292193	-7.61381868480863	-7.61381868480863	-1.24906792795672	-1.19872172563703	-7.61381868480863	-7.61381868480863	-1.88047740791088	-3.4706839584171	-6.51520639614052	-7.61381868480863	-7.61381868480863	-7.61381868480863	-7.61381868480863	-7.61381868480863
s125	-5.01812396241762	-8.92345797969497	-8.92345797969497	-10.0220702683631	-6.46672220687366	-0.0974574342119996	-1.08761515895916	-8.07616011930776	-4.52900882502253	-7.31402006726087	-5.42695041822849	-4.9161247944625	-10.0220702683631	-10.0220702683631	-10.0220702683631
s126	0.57580724982217	-3.88874768865299	-5.11252312027511	0.50505573187803	-0.221171987961504	-2.75166911915709	-5.55188978005896	-0.716977173608982	-2.07224247046005	-6.97327546099012	-0.71533423786155	-8.91918561004543	-8.91918561004543	-6.97327546099012	-8.91918561004543
s127	-1.95006973153226	-3.73918019258873	-3.28719506884568	0.960000627861596	-0.278915579239598	-6.27287700654617	-7.88231491898027	0.102829012218353	-1.02901582579419	-7.88231491898027	-7.88231491898027	-7.88231491898027	-7.88231491898027	-7.88231491898027	-7.88231491898027
s128	-1.02492457287695	-9.34049105644123	-2.7084892790456	-1.39139955661071	-1.70857454336998	-0.89651392735625	-6.63244085533902	-1.43911370264861	-1.11498795887431	-9.34049105644123	-1.39493562818774	-9.34049105644123	-9.34049105644123	-9.34049105644123	-9.34049105644123
s129	-7.32514895795557	-5.09667183711525	-4.4268720205523	-5.97522224100656	-7.32514895795557	-9.27105910701089	-5.83707190252574	-9.27105910701089	-9.27105910701089	-6.13556489108174	-9.27105910701089	-9.27105910701089	-9.27105910701089	-8.17244681834278	-9.27105910701089
s130	-2.95081311204966	-2.646908204091	2.2512917986065	-2.24374459297111	-4.67920296734513	-4.2563461165251	-5.42641736917535	-6.52502965784346	-6.01420403407747	-6.52502965784346	-4.2563461165251	-7.62364194651157	-6.52502965784346	-7.62364194651157	-3.86244183081801
