SampleID	GA.Prevotella	GA.Veillonella	GA.Streptococcus	GA.Enterococcus	GA.Lactobacillus	GA.Klebsiella	GA.Staphylococcus	GA.Rothia	GA.Granulicatella	GA.Escherichia_Shigella	GA.Afipia	GA.Haemophilus	GA.Neisseria	GA.Mycoplasma	GA.Fusobacterium
s144	0.770724678237491	-4.37022254585631	-3.19313864174671	-5.55399264286473	-4.96620597796261	2.36378654740841	-6.65260493153284	-2.58187023494987	-5.3176038648005	-4.89474701398047	-8.26204284396694	-0.69521436475861	-4.21899157613239	-3.28530910154637	-0.293377143500705
s146	-1.64888156617464	-1.99280175995293	0.0210650193251144	-6.15742491647366	-5.09453071040763	-9.1018638956401	-0.39520803927854	-1.49051617823648	-0.925753553402758	-9.1018638956401	-7.15595374658479	-9.1018638956401	-8.00325160697199	-9.1018638956401	-7.15595374658479
s147	-1.95979506877453	2.98980949268466	-3.98539337843355	1.17569914715462	-7.41938058291869	-7.41938058291869	-5.47347043386338	-7.41938058291869	-5.02148531012032	-7.41938058291869	-7.41938058291869	-7.41938058291869	-7.41938058291869	-7.41938058291869	-7.41938058291869
s148	-0.928542216999772	-1.19943501688543	-1.61588415655409	-8.34331588140495	-4.95329180034092	-7.83249025763895	-2.81256491663561	-1.76731067270869	-2.95424415158844	-9.44192817007306	-7.83249025763895	-6.14609130406873	-1.13817575450964	-9.44192817007306	-2.66542117770087
s149	-7.9820748750812	-6.88346258641309	-7.9820748750812	2.03932903755654	-5.03763589591476	-7.9820748750812	0.770190438514519	0.303690545433128	-6.03616472602589	-7.9820748750812	-7.9820748750812	-7.9820748750812	-7.9820748750812	-7.9820748750812	-7.9820748750812
s150	-0.772477243305177	-0.773660208742815	-1.24338768752424	-3.5024406718381	-4.49237469184275	-8.20594675854706	-6.90666377441679	-1.66203491298226	-2.46401251792648	-9.30455904721516	-9.30455904721516	-6.47134570315895	-0.961481176045783	-9.30455904721516	-2.4597435680069
s151	-6.49627209854841	-7.59488438721652	-7.59488438721652	-7.59488438721652	-5.3976598098803	-7.59488438721652	-7.59488438721652	-7.59488438721652	-7.59488438721652	-7.59488438721652	-7.59488438721652	-7.59488438721652	-7.59488438721652	-7.59488438721652	-7.59488438721652
s152	-1.2685817852134	-1.59652231314545	-1.88472617011207	-8.05642676752298	-1.95835248535674	-6.44698885508888	1.31985168199663	-2.52303727879546	-3.19661436316131	-8.05642676752298	-8.05642676752298	-6.44698885508888	-1.65783183298778	-8.05642676752298	-2.7937365786181
s153	-0.496338331927469	-0.942921686965106	-0.858947660947118	-7.88507839266458	-6.27564048023048	-8.98369068133269	-5.4871831198662	-0.950032253446535	-3.33824378368945	-3.16956014950762	-5.4871831198662	-1.18845575233051	-0.113730170808733	-3.4582377422009	-3.29671532499287
s154	-1.65194761046284	-1.77344373055402	-2.38449521484238	-9.76537425040649	-9.76537425040649	-9.76537425040649	-7.81946410135118	-2.43562456136498	-2.17806374438388	-8.66676196173838	-5.79508233685437	-6.62988003447734	-1.50410609982885	-4.96958370480975	-2.74518354209457
s155	-2.67143737582059	-2.79271450352165	-2.30861652866147	-10.0116242111407	-1.82154716142166	-8.9130119224726	-8.40218629870661	-3.05985204674179	-3.39823999276115	-10.0116242111407	-10.0116242111407	-6.04133229758858	-1.99102506124374	-10.0116242111407	-3.95953504221629
s156	-1.77036827924674	-0.474802771516609	0.314444300080038	-7.85941315469358	-1.29838248879701	-7.85941315469358	-1.48438833486549	1.2284205427898	-1.19628045870278	-6.76080086602547	-7.85941315469358	-7.85941315469358	-4.14584108798928	-7.85941315469358	-5.66218857735736
s157	-2.20791232955041	-1.82140005051435	-2.30141755053801	-9.05485546913579	-7.95624318046768	0.794650969533827	-3.24671297915534	-7.95624318046768	-9.05485546913579	-7.10894532008047	-1.49113580072142	-9.05485546913579	-9.05485546913579	-9.05485546913579	-9.05485546913579
s158	0.915231640724479	-0.524776786637349	-2.63006920154036	-7.66918396695849	-5.5489204307584	-8.7677962556266	-6.05974605452439	-2.66077336788434	-2.06215716076659	-8.7677962556266	-8.7677962556266	-8.7677962556266	-2.27404241577491	-8.7677962556266	-7.1583583431925
