OTU	Size	Taxonomy
Otu0167	3	Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae
Otu0168	3	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0169	3	Bacteria
Otu0170	3	Bacteria Proteobacteria
Otu0171	3	Bacteria
Otu0172	3	Bacteria Proteobacteria
Otu0173	3	Bacteria
Otu0174	3	Bacteria
Otu0175	3	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0176	3	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0177	3	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0178	3	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Mobiluncus
Otu0179	3	Bacteria Actinobacteria Actinobacteria
Otu0180	3	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0181	3	Bacteria Acidobacteria Acidobacteria_Gp6 Gp6
Otu0182	3	Bacteria
Otu0183	3	Bacteria Synergistetes Synergistia Synergistales Synergistaceae Jonquetella
Otu0184	3	Bacteria Proteobacteria Gammaproteobacteria
Otu0185	3	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Paraprevotella
Otu0186	3	Bacteria
Otu0187	3	Bacteria Firmicutes Bacilli Bacillales
Otu0188	3	Bacteria
Otu0189	3	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Arcanobacterium
Otu0190	3	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu0191	3	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0192	3	Bacteria
Otu0193	3	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0194	3	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Spirosoma
Otu0195	3	Bacteria
Otu0196	3	Bacteria Firmicutes Clostridia Clostridiales
Otu0197	3	Bacteria Actinobacteria Actinobacteria Bifidobacteriales Bifidobacteriaceae Bifidobacterium
Otu0198	3	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0199	3	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu0200	3	Bacteria
Otu0201	3	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0202	3	Bacteria
Otu0203	3	Bacteria
Otu0204	3	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema
Otu0205	3	Bacteria Actinobacteria Actinobacteria Coriobacteriales Coriobacteriaceae Eggerthella
Otu0206	3	Bacteria Bacteroidetes
Otu0207	3	Bacteria
Otu0208	3	Bacteria Firmicutes Bacilli Bacillales Bacillaceae_2
Otu0209	3	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0210	3	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0211	3	Bacteria Firmicutes Clostridia Clostridiales Eubacteriaceae Eubacterium
Otu0212	3	Bacteria Proteobacteria
Otu0213	3	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0214	3	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae Gracilimonas
Otu0215	3	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0216	3	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0217	3	Bacteria
Otu0218	3	Bacteria Actinobacteria Actinobacteria Actinomycetales Nocardiopsaceae Nocardiopsis
Otu0219	3	Bacteria Proteobacteria
Otu0220	3	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0221	3	Bacteria Firmicutes Bacilli Lactobacillales Leuconostocaceae Weissella
Otu0222	3	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII Mogibacterium
Otu0223	2	Bacteria Firmicutes
Otu0224	2	Bacteria Firmicutes Clostridia Clostridiales Eubacteriaceae Eubacterium
Otu0225	2	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae
Otu0226	2	Bacteria
Otu0227	2	Bacteria
Otu0228	2	Bacteria Chloroflexi Thermomicrobia
Otu0229	2	Bacteria
Otu0230	2	Bacteria Firmicutes Clostridia Clostridiales Incertae_Sedis_XI Murdochiella
Otu0231	2	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0232	2	Bacteria
Otu0233	2	Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae
Otu0234	2	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae Saccharofermentans
Otu0235	2	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae
Otu0236	2	Bacteria
Otu0237	2	Bacteria
Otu0238	2	Bacteria
Otu0239	2	Bacteria
Otu0240	2	Bacteria Firmicutes Clostridia Clostridiales
Otu0241	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu0242	2	Bacteria
Otu0243	2	Bacteria Firmicutes Clostridia Clostridiales
Otu0244	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu0245	2	Bacteria Proteobacteria Gammaproteobacteria
Otu0246	2	Bacteria
Otu0247	2	Bacteria
Otu0248	2	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0249	2	Bacteria Firmicutes Bacilli Lactobacillales
Otu0250	2	Bacteria Firmicutes Clostridia Clostridiales
Otu0251	2	Bacteria
Otu0252	2	Bacteria Firmicutes Bacilli Bacillales
Otu0253	2	Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae_1 Paenibacillus
Otu0254	2	Bacteria
Otu0255	2	Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae
Otu0256	2	Bacteria
Otu0257	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Paludibacter
Otu0258	2	Bacteria
Otu0259	2	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae
Otu0260	2	Bacteria
Otu0261	2	Bacteria
Otu0262	2	Bacteria Actinobacteria Actinobacteria Solirubrobacterales
Otu0263	2	Bacteria Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_XI Gemella
Otu0264	2	Bacteria
Otu0265	2	Bacteria Proteobacteria Betaproteobacteria
Otu0266	2	Bacteria Actinobacteria Actinobacteria Actinomycetales Propionibacteriaceae Propionibacterium
Otu0267	2	Bacteria Proteobacteria Betaproteobacteria
Otu0268	2	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae
Otu0269	2	Bacteria
Otu0270	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0271	2	Bacteria
Otu0272	2	Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Simonsiella
Otu0273	2	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0274	2	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Dialister
Otu0275	2	Bacteria
Otu0276	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0277	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0278	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0279	2	Bacteria
Otu0280	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0281	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0282	2	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu0283	2	Bacteria
Otu0284	2	Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Lysobacter
Otu0285	2	Bacteria Proteobacteria Gammaproteobacteria Cardiobacteriales Cardiobacteriaceae Cardiobacterium
Otu0286	2	Bacteria
Otu0287	2	Bacteria
Otu0288	2	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu0289	2	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII Mogibacterium
Otu0290	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0291	2	Bacteria Chloroflexi
Otu0292	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0293	2	Bacteria Cyanobacteria_Chloroplast Cyanobacteria
Otu0294	2	Bacteria Firmicutes Negativicutes Selenomonadales
Otu0295	2	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Dialister
Otu0296	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0297	2	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu0298	2	Bacteria
Otu0299	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0300	2	Bacteria
Otu0301	2	Bacteria Actinobacteria Actinobacteria
Otu0302	2	Bacteria Chloroflexi
Otu0303	2	Bacteria Actinobacteria Actinobacteria Actinomycetales Propionibacteriaceae Propionimicrobium
Otu0304	2	Bacteria
Otu0305	2	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Anaeroglobus
Otu0306	2	Bacteria
Otu0307	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0308	2	Bacteria
Otu0309	2	Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Aquaspirillum
Otu0310	2	Bacteria Firmicutes
Otu0311	2	Bacteria
Otu0312	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu0313	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0314	2	Bacteria
Otu0315	2	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema
Otu0316	2	Bacteria Proteobacteria
Otu0317	2	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Selenomonas
Otu0318	2	Bacteria
Otu0319	2	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae
Otu0320	2	Bacteria
Otu0321	2	Bacteria Actinobacteria Actinobacteria Actinomycetales Nocardiopsaceae
Otu0322	2	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0323	2	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae Epilithonimonas
Otu0324	2	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0325	2	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Hymenobacter
Otu0326	2	Bacteria
Otu0327	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0328	2	Bacteria
Otu0329	2	Bacteria
Otu0330	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0331	2	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0332	2	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0333	2	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae Trichococcus
Otu0334	2	Bacteria Armatimonadetes Armatimonadia Armatimonadales Armatimonadaceae Armatimonas_Armatimonadetes_gp1
Otu0335	2	Bacteria
Otu0336	2	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0337	2	Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales
Otu0338	2	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0339	2	Bacteria Bacteroidetes
Otu0340	2	Bacteria Firmicutes Clostridia Clostridiales Incertae_Sedis_XI Murdochiella
Otu0341	2	Bacteria Proteobacteria
Otu0342	2	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0343	2	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Negativicoccus
Otu0344	2	Bacteria
Otu0345	2	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae
Otu0346	2	Bacteria Proteobacteria
Otu0347	2	Bacteria
Otu0348	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0349	2	Bacteria
Otu0350	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0351	2	Bacteria Proteobacteria
Otu0352	2	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Megasphaera
Otu0353	2	Bacteria
Otu0354	2	Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae_1 Paenibacillus
Otu0355	2	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0356	2	Bacteria Proteobacteria Gammaproteobacteria
Otu0357	2	Bacteria Proteobacteria Gammaproteobacteria
Otu0358	2	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0359	2	Bacteria Proteobacteria
Otu0360	2	Bacteria
Otu0361	2	Bacteria
Otu0362	2	Bacteria Proteobacteria Gammaproteobacteria
Otu0363	2	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0364	2	Bacteria
Otu0365	2	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0366	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0367	2	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0368	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0369	2	Bacteria Firmicutes
Otu0370	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0371	2	Bacteria Actinobacteria Actinobacteria Solirubrobacterales Conexibacteraceae Conexibacter
Otu0372	2	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae Gracilimonas
Otu0373	2	Bacteria Actinobacteria Actinobacteria
Otu0374	2	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0375	2	Bacteria
Otu0376	2	Bacteria
Otu0377	2	Bacteria
Otu0378	2	Bacteria Actinobacteria Actinobacteria Actinomycetales Micrococcaceae Renibacterium
Otu0379	2	Bacteria Proteobacteria Betaproteobacteria
Otu0380	2	Bacteria
Otu0381	2	Bacteria
Otu0382	2	Bacteria
Otu0383	2	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0384	2	Bacteria
Otu0385	2	Bacteria
