rxn01352_c0	207.0022	dgsn[c]+h[c]+pppi[c]-->dgtp[c]+h2o[c]
rxn01387_c0	13.50919	icit[c]+nadp[c]-->h[c]+nadph[c]+oxasucc[c]
rxn01388_c0	1000	acon-C[c]+h2o[c]-->icit[c]
rxn01434_c0	3.451144	asp-L[c]+atp[c]+citr-L[c]-->amp[c]+argsuc[c]+ppi[c]
rxn01444_c0	207.0022	adp[c]+dgmp[c]-->atp[c]+dgsn[c]
rxn01486_c0	0.003908795	frdp[c]+ipdp[c]-->ggdp[c]+ppi[c]
rxn01509_c0	207.0022	adp[c]+dgdp[c]-->atp[c]+dgmp[c]
rxn01517_c0_URIDK2	403.4975	atp[c]+dump[c]-->adp[c]+dudp[c]
rxn01519_c0	403.7965	dutp[c]+h2o[c]-->dump[c]+ppi[c]
rxn01636_c0	3.856624	acorn[c]+glu-L[c]-->acglu[c]+orn[c]
rxn01643_c0	12.52576	4pasp[c]+nadph[c]-->aspsa[c]+nadp[c]+pi[c]
rxn01682_c0	999.3566	g3p[c]+indole[c]-->3ig3p[c]
rxn01739_c0	5.024273	atp[c]+skm[c]-->adp[c]+skm5p[c]
rxn01791_c0	0.003966277	ala-B[c]+atp[c]+pant-R[c]-->amp[c]+pnto-R[c]+ppi[c]
rxn01870_c0	1000	dhap[c]+glyald[c]-->f1p[c]
rxn01871_c0	13.63306	accoa[c]+dhlam[c]-->adhlam[c]+coa[c]
rxn01917_c0	3.856624	acglu[c]+atp[c]+h[c]-->acg5p[c]+adp[c]
rxn01975_c0	1000	6pgl[c]+h[c]+nadph[c]-->g6p-B[c]+nadp[c]
rxn01977_c0	1000	g6p-B[c]-->g6p[c]
rxn02155_c0	0.04483618	atp[c]+nicrnt[c]-->dnad[c]+ppi[c]
rxn02159_c0	1.111385	histd[c]+nad[c]-->cbs_412[c]+h[c]+nadh[c]
rxn02160_c0	1.111385	h2o[c]+hisp[c]-->h[c]+histd[c]+pi[c]
rxn02175_c0	0.003966277	atp[c]+pan4p[c]-->dpcoa[c]+ppi[c]
rxn02185_c0	10.24041	2-Hydroxyethyl-ThPP[c]+pyr[c]-->alac-S[c]+thmpp[c]
rxn02187_c0	1000	alac-S[c]-->33hmeoxobut[c]
rxn02200_c0	0.5748228	4abz[c]+6hmhpt[c]-->dhpt[c]+h2o[c]
rxn02212_c0	5.024273	2dda7p[c]-->3dhq[c]+h[c]+pi[c]
rxn02304_c0	0.0001954398	(2)pppg9[c]+(3)o2[c]-->(2)ppp9[c]+(6)h2o[c]
rxn02320_c0	1.111385	glu-L[c]+imacp[c]-->akg[c]+hisp[c]
rxn02331_c0	0.5219391	ara5p[c]+h2o[c]+pep[c]-->h[c]+kdo8p[c]+pi[c]
rxn02342_c0	13.63306	adhlam[c]+thmpp[c]-->2-Hydroxyethyl-ThPP[c]+lpam[c]
rxn02373_c0	2.573735	glu5p[c]+nadph[c]-->glu5sa[c]+nadp[c]+pi[c]
rxn02404_c0	0.5219391	h2o[c]+kdo8p[c]-->h[c]+kdo[c]+pi[c]
rxn02465_c0	3.856624	acg5p[c]+nadph[c]-->acg5sa[c]+nadp[c]+pi[c]
rxn02473_c0	1.111385	eig3p[c]-->h2o[c]+imacp[c]
rxn02475_c0	0.007932555	25drapp[c]+h2o[c]+h[c]-->5apru[c]+nh4[c]
rxn02476_c0	5.024273	pep[c]+skm5p[c]-->3psme[c]+h[c]+pi[c]
rxn02504_c0	0.5748228	dhnpt[c]-->6hmhpt[c]+gcald[c]
rxn02834_c0	1.111385	h2o[c]+prbatp[c]-->ppi[c]+prbamp[c]
rxn02835_c0	1.111385	h2o[c]+prbamp[c]-->prfp[c]
rxn02988_c0	0.04483618	dhap[c]+iasp[c]-->(2)h2o[c]+h[c]+pi[c]+quln[c]
rxn03052_c0	0.01172639	hpglu[c]+met-L[c]-->hcys-L[c]+mhpglu[c]
rxn03068_c0	1000	33hmeoxobut[c]+h[c]+nadph[c]-->23dhmb[c]+nadp[c]
rxn03080_c0	0.01586511	4r5au[c]+db4p[c]-->(2)h2o[c]+dmlz[c]+h[c]+pi[c]
rxn03084_c0	5.615478	atp[c]+fgam[c]+gln-L[c]+h2o[c]-->adp[c]+fpram[c]+glu-L[c]+h[c]+pi[c]
rxn03130_c0	0.1043878	h2o[c]+u23ga[c]-->lipidX[c]+ump[c]
rxn03135_c0	1.111385	gln-L[c]+prlp[c]-->aicar[c]+eig3p[c]+glu-L[c]+h[c]
rxn03147_c0	5.615478	5aizc[c]+asp-L[c]+atp[c]-->(2)h[c]+25aics[c]+adp[c]+pi[c]
rxn03159_c0	0.1043878	lipidX[c]+u23ga[c]-->lipidA[c]+udp[c]
rxn03167_c0	0.5748228	(3)h2o[c]+ahdt[c]-->(3)h[c]+(3)pi[c]+dhnpt[c]
rxn03181_c0	0.1043878	atp[c]+lipidA[c]-->adp[c]+lipidA[c]
rxn03182_c0	0.1043878	ckdo[c]+lipidA[c]-->cmp[c]+kdolipid4[c]
rxn03194_c0	3.39265	2-Hydroxyethyl-ThPP[c]+2obut[c]-->2ahbut[c]+thmpp[c]
rxn03394_c0	0.003908795	2oph[c]+h[c]+nadph[c]+o2[c]-->2ohph[c]+h2o[c]+nadp[c]
rxn03397_c0	0.003908795	2ombz[c]+amet[c]-->2ommb[c]+ahcys[c]+h[c]
rxn03408_c0	0.3005174	uacgam[c]+uagmda[c]-->uaagmda[c]+udp[c]
rxn03435_c0	3.39265	(R)-3-Hydroxy-3-methyl-2-oxopentanoate[c]+h[c]+nadph[c]-->23dhmp[c]+nadp[c]
rxn03436_c0	3.39265	2ahbut[c]-->(R)-3-Hydroxy-3-methyl-2-oxopentanoate[c]
rxn03439_c0	0.1043878	ckdo[c]+kdolipid4[c]-->cmp[c]+kdo2lipid4[c]
rxn03511_c0	0.3131635	adphep-D,D[c]-->adphep-L[c]
rxn03536_c0	1000	adocbi[c]+atp[c]-->adocbip[c]+adp[c]+h[c]
rxn03891_c0	0.003908795	hexdp[c]+ipdp[c]-->hepdp[c]+ppi[c]
rxn03892_c0	0.003908795	ipdp[c]+pendp[c]-->hexdp[c]+ppi[c]
rxn03907_c0	0.032443	2me4p[c]+ctp[c]-->4c2me[c]+ppi[c]
rxn03908_c0	0.032443	4c2me[c]+atp[c]-->2p4c2me[c]+adp[c]
rxn03916_c0	0.3131635	atp[c]+gmhep1p[c]-->adphep-D,D[c]+ppi[c]
rxn03917_c0	0.3131635	s7p[c]-->gmhep7p[c]
rxn03918_c0	0.3131635	atp[c]+gmhep7p[c]-->adp[c]+gmhep17bp[c]
rxn03919_c0	0.3131635	gmhep17bp[c]+h2o[c]-->gmhep1p[c]+h[c]+pi[c]
rxn04113_c0	0.02814332	h2mb4p[c]+h[c]+nadph[c]-->h2o[c]+ipdp[c]+nadp[c]
rxn04139_c0	0.003908795	2ommb[c]+nadph[c]+o2[c]-->OCTAPRENYL-METHYL-OH-METHOXY-BENZQ[c]+h2o[c]+nadp[c]
rxn04413_c0	1000	adocbip[c]+gdp[c]+h[c]-->adocbi[c]+gtp[c]
rxn04954_c0	1000	h[c]+mlthf[c]+nadh[c]-->5mthf[c]+nad[c]
rxn05039_c0	0.007932555	5aprbu[c]+h2o[c]-->4r5au[c]+h[c]+pi[c]
rxn05144_c0	0.0003908795	g3p[c]+gln-L[c]+ru5p-D[c]-->(2)h[c]+(3)h2o[c]+glu-L[c]+pi[c]+pydx5p[c]
rxn05145_c0_PIabc	10.70786	atp[c]+h2o[c]+pi[e]-->(2)pi[c]+adp[c]+h[c]
rxn05206_c0	1000	k[c]-->k[e]
rxn05229_c0	5.615478	air[c]+atp[c]+hco3[c]-->5aizc[c]+adp[c]+h[c]+pi[c]
rxn05231_c0	0.2989079	adp[c]+trdrd[c]-->dadp[c]+h2o[c]+trdox[c]
rxn05234_c0	0.2989079	gtp[c]+trdrd[c]-->dgtp[c]+h2o[c]+trdox[c]
rxn05287_c0	0.003908795	ggdp[c]+ipdp[c]-->pendp[c]+ppi[c]
rxn05293_c0	0.032443	2mecdp[c]+h[c]+nadh[c]-->h2mb4p[c]+h2o[c]+nad[c]
rxn05322_c0	0.9498552	2beACP[c]+h[c]+nadh[c]-->butACP[c]+nad[c]
rxn05323_c0	0.4279161	h[c]+nadh[c]+tmrs2eACP[c]-->myrsACP[c]+nad[c]
rxn05324_c0	0.9498552	2tddACP[c]+h[c]+nadh[c]-->ddcaACP[c]+nad[c]
rxn05325_c0	0.9498552	2toceACP[c]+h[c]+nadh[c]-->nad[c]+octACP[c]
rxn05326_c0	0.9498552	2theACP[c]+h[c]+nadh[c]-->hexACP[c]+nad[c]
rxn05327_c0	0.9498552	2tdeACP[c]+h[c]+nadh[c]-->decACP[c]+nad[c]
rxn05329_c0	0.9498552	3hbACP[c]-->2beACP[c]+h2o[c]
rxn05330_c0	0.9498552	3hhACP[c]-->2theACP[c]+h2o[c]
rxn05331_c0	0.9498552	3hddACP[c]-->2tddACP[c]+h2o[c]
rxn05333_c0	0.9498552	3hdeACP[c]-->2tdeACP[c]+h2o[c]
rxn05334_c0	0.9498552	3hocACP[c]-->2toceACP[c]+h2o[c]
rxn05335_c0	0.4279161	3htdACP[c]-->h2o[c]+tmrs2eACP[c]
rxn05337_c0_HHYR2	0.9498552	3oxhACP[c]+h[c]+nadph[c]-->3hhACP[c]+nadp[c]
rxn05338_c0_HDER4	0.9498552	3oxdeACP[c]+h[c]+nadph[c]-->3hdeACP[c]+nadp[c]
rxn05339_c0_HBUR1	0.9498552	actACP[c]+h[c]+nadph[c]-->3hbACP[c]+nadp[c]
rxn05340_c0_HDDR5	0.9498552	3oxddACP[c]+h[c]+nadph[c]-->3hddACP[c]+nadp[c]
rxn05341_c0_HOCR3	0.9498552	3oxocACP[c]+h[c]+nadph[c]-->3hocACP[c]+nadp[c]
rxn05342_c0_HTDR6	0.8454674	3oxtdACP[c]+h[c]+nadph[c]-->3htdACP[c]+nadp[c]
rxn05343_c0	0.9498552	h[c]+malACP[c]+octACP[c]-->3oxdeACP[c]+ACP[c]+co2[c]
rxn05345_c0	0.8454674	ddcaACP[c]+h[c]+malACP[c]-->3oxtdACP[c]+ACP[c]+co2[c]
rxn05346_c0	0.9498552	butACP[c]+h[c]+malACP[c]-->3oxhACP[c]+ACP[c]+co2[c]
rxn05348_c0	0.9498552	decACP[c]+h[c]+malACP[c]-->3oxddACP[c]+ACP[c]+co2[c]
rxn05350_c0	0.9498552	h[c]+hexACP[c]+malACP[c]-->3oxocACP[c]+ACP[c]+co2[c]
rxn05560_c0	1000	f1p[c]+pyr[c]-->fru[e]+pep[c]
rxn05596_c0	1000	h[c]+k[e]-->h[e]+k[c]
rxn05625_c0	82.91018	h[e]+no2[e]-->h[c]+no2[c]
rxn05651_c0	2.870171	h[e]+so4[e]-->h[c]+so4[c]
rxn05740_c0	1000	g1p[c]+glycogenb[c]-->glycogen[c]+h[c]+pi[c]
rxn05937_c0	306.6194	fdxox[c]+nadph[c]-->fdxrd[c]+h[c]+nadp[c]
rxn05938_c0	306.6194	accoa[c]+co2[c]+fdxrd[c]+h[c]-->coa[c]+fdxox[c]+pyr[c]
rxn05957_c0	1.813313	h2s[c]+suchms[c]-->h[c]+hcys-L[c]+succ[c]
rxn06280_c0	1.637831	atp[c]+h[c]+trnatyr[c]+tyr-L[c]-->amp[c]+ppi[c]+tyrtrna[c]
rxn06300_c0	6.024879	ala-L[c]+atp[c]+h[c]+trnaala[c]-->alatrna[c]+amp[c]+ppi[c]
rxn06432_c0	3.451144	arg-L[c]+atp[c]+h[c]+trnaarg[c]-->amp[c]+argtrna[c]+ppi[c]
rxn06434_c0	2.80771	asn-L[c]+atp[c]+h[c]+trnaasn[c]-->amp[c]+asntrna[c]+ppi[c]
rxn06435_c0	1.052891	atp[c]+cys-L[c]+h[c]+trnacys[c]-->amp[c]+cystrna[c]+ppi[c]
rxn06437_c0	3.10018	atp[c]+gln-L[c]+h[c]+trnagln[c]-->amp[c]+glntrna[c]+ppi[c]
rxn06438_c0	3.10018	atp[c]+gly[c]+h[c]+trnagly[c]-->amp[c]+glytrna[c]+ppi[c]
rxn06439_c0	1.111385	atp[c]+h[c]+his-L[c]+trnahis[c]-->amp[c]+histrna[c]+ppi[c]
rxn06440_c0	3.39265	atp[c]+h[c]+ile-L[c]+trnaile[c]-->amp[c]+iletrna[c]+ppi[c]
rxn06441_c0	5.264457	atp[c]+h[c]+leu-L[c]+trnaleu[c]-->amp[c]+leutrna[c]+ppi[c]
rxn06443_c0	1.813313	atp[c]+h[c]+met-L[c]+trnamet[c]-->amp[c]+mettrna[c]+ppi[c]
rxn06444_c0	2.164277	atp[c]+h[c]+phe-L[c]+trnaphe[c]-->amp[c]+phetrna[c]+ppi[c]
rxn06445_c0	2.573735	atp[c]+h[c]+pro-L[c]+trnapro[c]-->amp[c]+ppi[c]+protrna[c]
rxn06448_c0	0.6434337	atp[c]+h[c]+trnatrp[c]+trp-L[c]-->amp[c]+ppi[c]+trptrna[c]
rxn06449_c0	4.971987	atp[c]+h[c]+trnaval[c]+val-L[c]-->amp[c]+ppi[c]+valtrna[c]
rxn06672_c0	25.50729	atp[c]+btn_cbxl[c]+hco3[c]-->adp[c]+btn_co2[c]+h[c]+pi[c]
rxn06673_c0	25.50729	accoa[c]+btn_co2[c]-->btn_cbxl[c]+malcoa[c]
rxn06936_c0	2.80771	asp-L[c]+atp[c]+h[c]+trnaasp[c]-->amp[c]+asptrna[c]+ppi[c]
rxn06937_c0	3.103307	atp[c]+glu-L[c]+h[c]+trnaglu[c]-->amp[c]+glutrna[c]+ppi[c]
rxn08335_c0	3.802706	dhor-S[c]+q8[c]-->orot[c]+q8h2[c]
rxn08354_c0	1000	dms[c]+h2o[c]+mqn8[c]-->dmso[c]+mql8[c]
rxn08356_c0	1000	2dmmql8[c]+dmso[c]-->2dmmq8[c]+dms[c]+h2o[c]
rxn08527_c0	1000	fum[c]+mql8[c]-->mqn8[c]+succ[c]
rxn08528_c0	1000	2dmmq8[c]+succ[c]-->2dmmql8[c]+fum[c]
rxn08615_c0	1000	adp[c]+glycogen[c]-->adpglc[c]+glycogenb[c]
rxn08655_c0	0.5748228	glyclt[c]+q8[c]-->glx[c]+q8h2[c]
rxn08707_c0	0.0003908795	frdp[c]+h2o[c]+pheme[c]-->hemeO[c]+ppi[c]
rxn08796_c0	1000	1ddecg3p[c]+h2o[c]-->ddca[c]+glyc3p[c]+h[c]
rxn08797_c0	1000	1tdecg3p[c]+h2o[c]-->glyc3p[c]+h[c]+ttdca[c]
rxn08798_c0	1000	glyc3p[c]+h[c]+ttdcea[c]-->1tdec7eg3p[c]+h2o[c]
rxn08799_c0	1000	glyc3p[c]+h[c]+hdca[c]-->1hdecg3p[c]+h2o[c]
rxn08800_c0	1000	1hdec9eg3p[c]+h2o[c]-->glyc3p[c]+h[c]+hdcea[c]
rxn08801_c0	1000	glyc3p[c]+h[c]+ocdca[c]-->1odecg3p[c]+h2o[c]
