SampleID	aa34.1.test	aa34.2.test	aa34.3.test	aa34.4.test	aa34.5.test	aa34.6.test	=	Total
0159.AA34.42496.20191018.ST	10191	0	0	0	0	0		10191
0159.AA34.42496.20200908.SAL	0	0	0	0	10037	0		10037
0159.AA34.42497.20191019.ST	13912	0	0	0	0	0		13912
0159.AA34.42497.20200820.SAL	0	0	0	0	50926	0		50926
0159.AA34.42501.20191207.ST	2	0	0	0	0	20		22
0159.AA34.42502.20191031.ST	35160	0	0	0	0	0		35160
0159.AA34.42502.20200925.ST	0	0	0	16708	0	0		16708
0159.AA34.42504.20191031.ST	33532	0	0	0	0	0		33532
0159.AA34.42506.20191107.ST	20198	0	0	0	0	0		20198
0159.AA34.42506.20200903.SAL	0	0	0	0	1135	0		1135
0159.AA34.42507.20191110.ST	19649	0	0	0	0	0		19649
0159.AA34.42507.20200916.ST	0	0	0	11906	0	0		11906
0159.AA34.42508.20191111.ST	29589	0	0	0	0	0		29589
0159.AA34.42509.20191204.ST	4888	0	0	0	0	0		4888
0159.AA34.42513.20191124.ST	25616	0	0	0	0	0		25616
0159.AA34.42513.20200729.SAL	0	0	0	0	35323	0		35323
0159.AA34.42515.20191210.ST	31647	0	0	0	0	0		31647
0159.AA34.42520.20200728.SAL	0	0	0	0	10464	0		10464
0159.AA34.42521.20201009.SAL	0	0	0	3809	0	0		3809
0159.AA34.42521.20201009.ST	0	0	0	7240	0	0		7240
0159.AA34.42523.20200727.SAL	0	0	0	0	44690	0		44690
0159.AA34.42524.20200802.SAL	0	0	0	0	12565	0		12565
0159.AA34.42526.20200828.SAL	0	0	0	0	7078	0		7078
0159.FAKE.42347.20190125.ST	0	0	5383	0	0	0		5383
0159.FAKE.42349.20190203.ST	0	0	6060	0	0	0		6060
0159.FAKE.42352.20190207.ST	0	0	8859	0	0	0		8859
0159.FAKE.42354.20190211.ST	0	0	6568	0	0	0		6568
0159.FAKE.42356.20190203.ST	0	0	10046	0	0	0		10046
0159.FAKE.42358.20190207.ST	0	0	7400	0	0	0		7400
0159.FAKE.42360.20190304.ST	0	0	9647	0	0	0		9647
0159.FAKE.42364.20190301.ST	0	0	8927	0	0	0		8927
0159.FAKE.42365.20190318.ST	0	0	10879	0	0	0		10879
0159.FAKE.42366.20190305.ST	0	0	7598	0	0	0		7598
0159.FAKE.42368.20190312.ST	0	0	10644	0	0	0		10644
0159.FAKE.42370.20190322.ST	0	0	12183	0	0	0		12183
0159.FAKE.42378.20190328.ST	0	0	10589	0	0	0		10589
0159.FAKE.42380.20190401.ST	0	0	6175	0	0	0		6175
0159.FAKE.42384.20190328.ST	0	0	7044	0	0	0		7044
0159.FAKE.42389.20190404.ST	0	0	12571	0	0	0		12571
