2.4.1.-	PWY-8219	RXN-22127
2.4.1.313	PWY-7979	RXN-19398
2.4.1.-	PWY-7055	RXN-13454
3.1.1.-	PWY-1921	RXN-3165
2.1.1.-	PWY-7163	RXN-13937
3.2.2.1	PWY-6607	RXN0-363
3.2.2.1	PWY-6596	RXN0-363
3.5.1.41	PWY-7118	CHITIN-DEACETYLASE-RXN
|EC-2.5.1.bl|	PWY-7760	RXN-17468
1.8.99.-	PWY-4181	RXN-6703
3.1.1.116	PWY-8052	RXN-20522
2.4.1.-	PWY-7252	RXN-14424
2.7.8.34	PWY-6664	RXN-11879
2.3.1.-	PWY18C3-16	RXN18C3-46
3.5.1.99	PWY6666-1	RXN6666-2
3.2.1.85	LACTOSECAT-PWY	LACTOSE6P-HYDROXY-RXN
3.1.1.4	LIPASYN-PWY	PHOSPHOLIPASE-A2-RXN
3.1.1.4	PWY-6803	PHOSPHOLIPASE-A2-RXN
4.2.3.56	PWY-5425	RXN-8541
2.1.1.306	PWY-7483	RXN-15404
3.5.1.116	PWY-5692	UREIDOGLYCOLATE-HYDROLASE-RXN
1.5.3.17	PWY-5760	RXN-9015
1.5.3.17	PWY-6441	RXN-9015
1.5.3.17	PWY-6117	RXN-9015
1.5.3.16	PWY-5760	RXN-9015
1.5.3.16	PWY-6441	RXN-9015
1.5.3.16	PWY-6117	RXN-9015
4.2.3.153	PWY-5254	RXN-15946
3.2.1.113	PWY-7919	RXN-18924
1.14.12.26	PWY-6190	RXN-10090
6.2.1.28	PWY-6061	6.2.1.28-RXN
1.5.1.42	PWY-681	RXN-9510
1.5.1.42	PWY-7723	RXN-9510
1.2.1.18	PWY-7574	RXN-2902
1.2.1.18	PWY-1781	RXN-2902
1.2.1.18	P562-PWY	RXN-2902
1.2.1.18	BETA-ALA-DEGRADATION-I-PWY	RXN-2902
2.1.1.-	PWY-7160	RXN-13920
1.2.1.7	PWY-7698	RXN-16955
2.3.1.166	PWY-5660	2.3.1.166-RXN
1.14.20.-	PWY-102	RXN-114
5.3.1.25	FUCCAT-PWY	FUCISOM-RXN
1.2.1.29	PWY-741	RXN-663
2.3.1.-	PWY18C3-9	RXN18C3-30
2.4.1.-	PWY-5160	RXN-8006
1.13.11.M19	PWY-8260	RXN-21021
2.5.1.18	PCPDEG-PWY	RXN-18405
2.5.1.18	TECH1REDHAL-RXN	RXN-18405
2.3.1.84	PWY-6801	RXN-12362
3.1.3.4	TRIGLSYN-PWY	PHOSPHATIDATE-PHOSPHATASE-RXN
1.14.13.-	PWY-5414	RXN-8524
1.1.2.-	PWY-8162	RXN-21540
1.14.14.123	PWY-7478	RXN-15382
1.1.1.336	PWY-7335	UDPMANNACADEHYDROG-RXN
2.4.1.111	PWY-83	RXN-90
2.6.1.-	PWY-7569	RXN-15929
2.6.1.-	PWY-7570	RXN-15929
6.3.4.23	PWY-7234	RXN-10066
1.14.20.13	PWY-7341	6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN
1.14.20.13	PWY-5317	6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN
1.14.19.66	PWY-5472	1.1.3.34-RXN
1.14.19.-	PWY-8210	RXN-22086
2.1.1.6	PWY-6342	RXN-10914
3.1.1.94	PWY-5955	RXN-9488
5.5.1.24	PWY-1422	RXN-2561
1.1.99.-	PWY-7636	RXN-16409
2.4.1.-	PWY-7157	RXN-13904
3.4.11.-	PWY-7694	RXN-16934
1.1.1.243	PWY-5928	CARVEOL-DEHYDROGENASE-RXN
4.1.2.54	PWY-6491	RXN-11381
3.5.3.8	HISDEG-PWY	FORMIMINOGLUTAMASE-RXN
1.14.11.-	PWY-5070	RXN-6541
1.14.11.70	PWY-8045	RXN-20448
3.2.1.68	PWY-622	RXN-14380
4.2.3.-	PWY18C3-7	RXN18C3-21
|EC-2.5.1.bl|	PWY-7758	RXN-17439
3.3.2.-	PWY66-397	RXN66-518
2.6.1.16	PWY-8013	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
2.6.1.16	UDPNACETYLGALSYN-PWY	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
2.6.1.16	UDPNAGSYN-PWY	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
2.6.1.16	PWY-6749	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
1.8.1.-	PWY-7462	RXN-15365
1.1.1.298	PWY0-1471	RXN-8974
1.1.1.298	PWY-5789	RXN-8974
1.1.1.298	PWY-8120	RXN-8974
1.1.1.298	PWY-5744	RXN-8974
1.1.1.298	PWY-5743	RXN-8974
5.5.1.27	PWY-6501	RXN-15907
2.4.1.-	PWY-8244	RXN-22070
2.4.1.-	PWY-8209	RXN-22070
3.1.3.73	PWY-7967	RXN-19323
2.4.1.-	PWY-7045	RXN-13376
1.14.13.208	PWY-1361	RXN-2401
6.2.1.3	PWY-1121	RXN-16389
6.2.1.3	PWY-321	RXN-16389
6.2.1.3	PWY-6733	RXN-16389
2.3.1.-	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	RXN-13887
6.3.2.45	PWY0-1261	RXN0-2361
6.3.2.45	PWY-7883	RXN0-2361
1.14.14.163	PWY-7138	RXN-19906
2.7.1.168	PWY-6478	RXN-11364
2.4.1.81	PWY-6239	FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN
1.14.12.16	PWY-721	RXN-642
2.1.1.M52	PWY-8040	RXN-20425
5.1.2.7	PWY-7248	RXN-14362
5.1.2.7	PWY-7241	RXN-14362
5.3.99.8	PWY-5174	RXN-7947
1.3.1.116	PWY-8134	RXN-17416
2.1.1.292	PWY-7352	RXN-14828
1.13.11.-	PWY66-395	RXN66-498
2.4.1.M56	PWY-6036	RXN-20968
2.4.1.272	PWY-5203	RXN-12319
1.1.1.95	SERSYN-PWY	PGLYCDEHYDROG-RXN
1.1.1.95	PWY-8010	PGLYCDEHYDROG-RXN
3.7.1.3	PWY-6309	3-HYDROXY-KYNURENINASE-RXN
3.7.1.3	PWY-5651	3-HYDROXY-KYNURENINASE-RXN
1.1.1.424	PWY-6760	RXN-21503
3.6.1.58	PWY-8061	RXN-12816
3.6.1.58	RXN-14205	RXN-12816
2.5.1.34	PWY-6493	TRYPTOPHAN-DIMETHYLALLYLTRANSFERASE-RXN
2.6.1.102	PWY2B4Q-2	RXN-8953
2.6.1.102	PWY-8225	RXN-8953
2.6.1.102	PWY-5739	RXN-8953
1.1.1.261	PWY-6349	1.1.1.261-RXN
1.14.13.217	PWY-7040	RXN-13341
1.13.11.-	PWY-6336	RXN-10882
2.1.1.-	PWY-7631	RXN-16364
2.7.8.26	PWY-7968	RXN-19307
2.6.1.6	PWY-7767	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.6	PWY-8185	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.6	PWY-8174	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.6	LEUSYN-PWY	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.6	LEU-DEG2-PWY	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.6	PWY-5076	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.42	PWY-7767	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.42	PWY-8185	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.42	PWY-8174	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.42	LEUSYN-PWY	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.42	LEU-DEG2-PWY	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.6.1.42	PWY-5076	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
2.1.1.86	PWY-8304	2.1.1.86-RXN
2.1.1.86	METHANOGENESIS-PWY	2.1.1.86-RXN
2.3.1.276	PWY-8013	RXN-19880
6.3.1.12	PWY-6470	RXN-11344
2.4.1.264	PWY-6658	RXN-11790
2.4.1.264	PWY-6655	RXN-11790
4.1.3.3	PWY-7581	RXN0-7390
4.1.3.3	PWY0-1324	RXN0-7390
6.2.1.7	PWY-7754	RXN-17398
6.2.1.3	PWY66-389	RXN66-480
3.4.11.18	PWY-7800	RXN-17877
4.1.2.20	GLUCARDEG-PWY	KDGALDOL-RXN
4.1.2.20	GALACTARDEG-PWY	KDGALDOL-RXN
1.3.1.-	PWY-6786	RXN-12296
2.6.1.8	PWY-4281	25-DIAMINOVALERATE-AMINOTRANSFERASE-RXN
2.4.1.271	PWY-5398	RXN-8475
1.3.99.4	PWY-8155	RXN-21484
2.4.2.51	PWY-7678	RXN-15326
2.4.2.51	PWY-7679	RXN-15326
2.4.2.51	PWY-7450	RXN-15326
2.1.1.-	PWY-4161	RXN-12795
1.3.1.-	PWY-5729	RXN-8936
2.3.1.202	PWY-6143	RXN-10000
|EC-4.8.1.d|	PWY-7824	4.99.1.7-RXN
|EC-4.8.1.d|	RXN-18096	4.99.1.7-RXN
1.1.1.237	PWY-5048	1.1.1.222-RXN
2.4.1.-	PWY-7037	RXN-13318
1.1.1.296	PWY-5922	RXN-9433
2.3.2.24	PWY-7511	RXN-16314
2.3.2.24	RXN-16302	RXN-16314
1.14.13.-	PWY-7151	RXN-13848
2.1.1.11	PWY-7159	RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN
2.1.1.11	CHLOROPHYLL-SYN	RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN
2.1.1.11	PWY-5531	RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN
2.8.2.40	PWY-7781	RXN-16854
5.4.3.3	P163-PWY	BETA-LYSINE-56-AMINOMUTASE-RXN
2.1.1.57	PWY-7379	2.1.1.57-RXN
|EC-4.8.1.c|	PWY-581	RXN-19838
1.1.1.403	PWY-7786	ERYTHRULOSE-REDUCTASE-RXN
1.1.1.219	PWY1F-823	RXN-600
2.4.2.28	PWY-8130	RXN-14304
4.2.1.133	PWY18C3-13	RXN-11772
4.2.1.133	PWY-6645	RXN-11772
2.4.1.-	PWY-8243	RXN0-7343
2.5.1.135	PWY-5818	RXN-17379
4.2.1.119	PWY-7340	RXN-14797
1.14.15.4	PWY66-381	RXN66-357
1.14.18.6	SPHINGOLIPID-SYN-PWY	RXN-20394
2.3.1.254	PWY-7800	RXN-17853
1.14.14.89	PWY-2463	ISOFLAVONE-2-HYDROXYLASE-RXN
1.1.1.-	PWY-6926	RXN-20922
4.2.2.24	PWY-6771	RXN-12268
4.1.1.36	PWY-7851	P-PANTOCYSDECARB-RXN
4.1.1.36	COA-PWY	P-PANTOCYSDECARB-RXN
2.8.2.29	PWY-6558	2.8.2.29-RXN
2.1.1.267	PWY-7160	RXN-8451
2.1.1.267	PWY-7498	RXN-8451
2.1.1.267	PWY-5391	RXN-8451
2.1.1.235	PWY-7414	RXN-12772
7.1.1.1	NADPHOS-DEPHOS-PWY	TRANS-RXN0-277
7.1.1.1	NADPHOS-DEPHOS-PWY-1	TRANS-RXN0-277
1.8.3.-	PWY-5707	RXN-8910
6.4.1.-	PWY1A0-6120	RXN-15800
4.4.1.21	PWY-6151	RIBOSYLHOMOCYSTEINASE-RXN
4.4.1.21	PWY-I9	RIBOSYLHOMOCYSTEINASE-RXN
4.4.1.21	PWY-6154	RIBOSYLHOMOCYSTEINASE-RXN
4.4.1.21	PWY-6153	RIBOSYLHOMOCYSTEINASE-RXN
2.3.3.17	PWY-1186	RXN-2202
1.1.1.330	PWY-7036	RXN-13301
1.1.1.-	PWY-7769	RXN-10836
1.1.1.-	PWY-6322	RXN-10836
1.3.99.25	PWY-5927	RXN-9419
2.8.2.35	PWY-6568	RXN-22504
6.3.2.47	PWY-7706	RXN-16293
2.4.1.-	PWY-7140	RXN-13823
1.1.1.330	PWY-7036	RXN-13298
2.7.1.-	PWY-7769	RXN-10833
2.7.1.-	PWY-6322	RXN-10833
6.3.2.46	PWY-7706	RXN-16290
2.4.1.-	PWY-7139	RXN-13820
1.3.1.94	PWY-6129	RXN-9971
2.5.1.146	PWY-7957	RXN-19272
2.5.1.146	PWY-7959	RXN-19272
2.5.1.146	PWY-7958	RXN-19272
1.14.13.-	PWY-7687	RXN-16830
1.2.1.28	PWY-8161	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN
1.2.1.28	PWY-6763	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN
1.2.1.28	PWY-6766	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN
1.2.1.28	PWY-6446	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN
1.2.1.28	PWY-6444	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN
1.2.1.28	TOLUENE-DEG-CATECHOL-PWY	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN
1.2.1.28	PWY-1501	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN
2.1.1.139	PWY-6346	2.1.1.139-RXN
1.5.1.52	PWY-8007	RXN-19816
2.3.2.17	PWY-6459	RXN-11296
2.7.4.12	PWY-7210	DTMPKI-RXN
2.7.4.12	PWY-7197	DTMPKI-RXN
2.7.4.12	PWY-7198	DTMPKI-RXN
2.7.4.12	PWY-7184	DTMPKI-RXN
2.7.4.12	PWY-6545	DTMPKI-RXN
2.7.4.12	PWY0-166	DTMPKI-RXN
2.7.4.12	PWY-7187	DTMPKI-RXN
2.7.4.13	PWY-7210	DTMPKI-RXN
2.7.4.13	PWY-7197	DTMPKI-RXN
2.7.4.13	PWY-7198	DTMPKI-RXN
2.7.4.13	PWY-7184	DTMPKI-RXN
2.7.4.13	PWY-6545	DTMPKI-RXN
2.7.4.13	PWY0-166	DTMPKI-RXN
2.7.4.13	PWY-7187	DTMPKI-RXN
2.7.4.9	PWY-7210	DTMPKI-RXN
2.7.4.9	PWY-7197	DTMPKI-RXN
2.7.4.9	PWY-7198	DTMPKI-RXN
2.7.4.9	PWY-7184	DTMPKI-RXN
2.7.4.9	PWY-6545	DTMPKI-RXN
2.7.4.9	PWY0-166	DTMPKI-RXN
2.7.4.9	PWY-7187	DTMPKI-RXN
2.1.1.103	PWY4FS-2	RXN-5642
2.1.1.103	PWY4FS-4	RXN-5642
2.1.1.103	PWY-3385	RXN-5642
1.1.1.M19	PWY-6920	RXN-14275
4.2.1.134	PWY-5080	RXN-11750
2.4.1.-	PWY-5268	RXN-7828
2.4.1.-	PWY-5139	RXN-7828
1.10.3.2	PWY-6824	RXN-17351
1.10.3.2	PWY-5466	RXN-17351
1.10.3.2	PWY-5469	RXN-17351
4.2.1.119	PWY-7338	RXN-14778
4.2.1.119	PWY-7337	RXN-14778
3.4.13.19	PWY66-375	RXN66-337
2.3.1.199	PWY-7035	RXN-20375
3.1.1.101	PWY-7794	RXN-17825
1.2.3.7	TRPIAACAT-PWY	INDOLE-3-ACETALDEHYDE-OXIDASE-RXN
1.2.3.7	PWY-3181	INDOLE-3-ACETALDEHYDE-OXIDASE-RXN
3.1.1.110	PWY-8020	RXN-12246
3.1.1.110	PWY-7294	RXN-12246
5.4.3.5	PWY-6344	ORNMUTST-RXN
