sample_id	total	protein_containing_complex	virion_component	cellular_anatomical_entity
0159_AA34_42423_20190503_ST	1225186	75558.95	80	1149547.05
0159_AA34_42424_20190529_ST	82649	4528.06666666667	0	78120.9333333333
0159_AA34_42425_20190602_ST	58431	3894.38333333333	975	53561.6166666667
0159_AA34_42427_20190604_ST	3555510	200003.4	833.5	3354673.1
0159_AA34_42430_20190612_ST	467390	24051.8833333333	24.5	443313.616666667
0159_AA34_42432_20190702_ST	82712	5149	7	77556
0159_AA34_42433_20190617_ST	2196349	152088.083333333	870	2043390.91666667
0159_AA34_42435_20190518_ST	3745937	212511.9	435.833333333333	3532989.26666667
0159_AA34_42436_20190628_ST	2576177	147730.814285714	242.5	2428203.68571429
0159_AA34_42437_20190622_ST	5283569	290155.85	634	4992779.15
0159_AA34_42438_20190621_ST	6536593.99999999	336796.016666667	841	6198956.98333333
0159_AA34_42439_20190621_ST	2843245	192100.9	913	2650231.1
0159_AA34_42441_20190629_ST	1017772	58432	30	959310
0159_AA34_42443_20190710_ST	4447682	245381.678571429	583.333333333333	4201716.98809524
0159_AA34_42444_20190706_ST	31818	1290.87261904762	1	30526.1273809523
0159_AA34_42445_20190716_ST	2206629	121650.35	110	2084868.65
0159_AA34_42446_20190715_ST	7732392	392116.511111111	1510.33333333333	7338765.15555555
0159_AA34_42448_20190731_ST	1899632	119824.542857143	3373.5	1776433.95714286
0159_AA34_42451_20190905_ST	11706690	562913.6	3996	11139780.4
0159_AA34_42452_20190801_ST	5404011	277508.1	3082.5	5123420.4
0159_AA34_42453_20190809_ST	5759658	510228.130952381	681.666666666667	5248748.20238095
0159_AA34_42454_20190801_ST	154712	11844.7666666667	118.5	142748.733333333
0159_AA34_42455_20190812_ST	2477528	175926.452380952	1299	2300302.54761905
0159_AA34_42456_20190803_ST	5004507	266274.983333334	318	4737914.01666666
0159_AA34_42457_20190805_ST	4227022	216381	545	4010096
0159_AA34_42460_20191014_ST	1284171	93088.2666666667	23536	1167546.73333333
0159_AA34_42461_20190814_ST	1524043	100311.833333333	1623.5	1422107.66666667
0159_AA34_42462_20190813_ST	690112	42252.4833333333	11	647848.516666666
0159_AA34_42464_20191002_ST	7927687	490294.85	24842	7412550.15
0159_AA34_42468_20190913_ST	10701311	645385.233333334	4072.5	10051853.2666667
0159_AA34_42470_20190830_ST	6166507	316922.7	743	5848841.3
0159_AA34_42471_20190830_ST	1541133	137333.633333333	86	1403713.36666667
0159_AA34_42473_20190830_ST	38293	2852.15	88.5	35352.35
0159_AA34_42475_20190911_ST	114708520	5395425.19444445	60466.1666666667	109252628.638889
0159_AA34_42476_20191015_ST	12790083	667882.116666666	1383.5	12120817.3833333
0159_AA34_42477_20190918_ST	5339445	252714.577777778	255	5086475.42222222
0159_AA34_42478_20190916_ST	32927	2150.33333333333	6	30770.6666666666
0159_AA34_42480_20191103_ST	76865758	4530967.7	4517	72330273.3
0159_AA34_42481_20190918_ST	49412.0000000001	3322.86666666667	64	46025.1333333334
0159_AA34_42485_20190917_ST	4779575.00000001	235501.166666667	340	4543733.83333334
0159_AA34_42487_20190921_ST	1516305	80037.5166666666	12584	1423683.48333333
0159_AA34_42489_20190928_ST	1465893	118994.983333333	837.5	1346060.51666667
0159_AA34_42490_20190926_ST	2445	176.466666666667	0	2268.53333333333
0159_AA34_42492_20191121_ST	1114648	86918.9	1083	1026646.1
0159_AA34_42496_20191018_ST	404625	29258.75	711	374655.25
0159_AA34_42497_20191019_ST	2987782	169373.773809524	416.5	2817991.72619048
0159_AA34_42501_20191207_ST	2525100	126944.033333333	880.5	2397275.46666667
0159_AA34_42502_20191031_ST	237504	14657.75	7	222839.25
0159_AA34_42504_20191031_ST	1044715	63110.8666666667	552	981052.133333333
0159_AA34_42506_20191107_ST	11968	739	2	11227
0159_AA34_42507_20191110_ST	1652	99.0666666666667	0	1552.93333333333
0159_AA34_42508_20191111_ST	18523	1110.16666666667	0	17412.8333333333
