RXN-8426	EC-4.2.3.95	ENZRXN-13347	
RXN-14446	EC-2.4.1.300	ENZRXN-21669	PWY-7256
PEPCARBOX-RXN	EC-4.1.1.31	PEPCARBOX-ENZRXN;ENZRXN-20877;ENZRXN-20868;ENZRXN-20867;ENZRXN-18104;ENZRXN-15979;ENZRXN-12358;ENZRXN-3903;ENZRXN-1082	PWY-7124;PWY-7117;PWY-7115;PWY-5913;PWY-241;PWY-6146;PWY-6142;PWYQT-4429;ANARESP1-PWY;PWY-1622;PWY-6549;FERMENTATION-PWY;P23-PWY
UDP-NACMUR-ALA-LIG-RXN	EC-6.3.2.8	UDP-NACMUR-ALA-LIG-ENZRXN;ENZRXN-17552;ENZRXN-17246	PWY-6387;PWY-6386
RXN-11530	EC-1.14.13	ENZRXN-17972;ENZRXN-17968	PWY-2582
RXN0-2201	EC-1.1.1.276	ENZRXN0-3062	
ATP-CITRATE-PRO-S--LYASE-RXN	EC-2.3.3.8	ENZRXN-12738;ENZRXN-12350	P23-PWY;PWY-5172
RXN-12600	EC-1.14.13		PWY-6887
2.8.1.5-RXN	EC-2.8.1.5		
RXN-8427			
RXN-14447	EC-2.4.1.300	ENZRXN-21672	PWY-7259
RXN-11531	EC-1.14.13	ENZRXN-17973;ENZRXN-17969	PWY-2582
PEPCARBOXYKIN-RXN	EC-4.1.1.49	PEPCARBOXYKIN-ENZRXN;ENZRXN-20878;ENZRXN-18931	GLUCONEO-PWY;PWY-7117;PWY-561
UDP-NACMURALA-GLU-LIG-RXN	EC-6.3.2.9	UDP-NACMURALA-GLU-LIG-ENZRXN;ENZRXN-17247;ENZRXN-12884	PWY-6387;PWY-6386
RXN-12601	EC-1.14.13		PWY-6887
RXN0-2281		ENZRXN0-3161	
ATP-DEAMINASE-RXN	EC-3.5.4.18		
2.8.1.6-RXN	EC-2.8.1.6	BIOTIN-SYN-ENZRXN;ENZRXN-10481;ENZRXN-1121	PWY0-1507
RXN-11532			PWY-2582
RXN-8428	EC-4.2.3	ENZRXN-13348	
RXN-14448	EC-2.4.1.300	ENZRXN-21674	PWY-7260
