#id	len	geom_mean	median	min	max
38b70b18-c8cf-4df5-8dd5-c4e82a6b0886	1846	35.0	40	3	50
c4262849-dbd1-44e0-9ca9-dd3b9c25833b	3	6.8	7	5	9
8401096a-3ac5-4811-ad7e-222855cf1400	64	29.5	34	8	46
f00b9e75-2490-40e6-842b-aec8f53da565	55	30.4	33	7	50
1146c54c-bbff-4526-b006-8dc4795eb878	67	32.6	34	10	50
f48c12e5-052d-43f2-849a-3460a72f0215	122	24.4	30	7	50
ebb26c76-175b-4226-8e92-a053bbea586a	55	15.2	17	4	36
91fae9e8-3672-4eef-9505-681db7299a50	1	14.0	14	14	14
eded0350-865f-4bd2-8dce-cdf2a9fb3327	55	16.8	22	3	42
ffed052e-4c0a-42b2-9b9d-348c8de9f2c1	1548	38.6	41	3	50
72e5eac0-ddcb-450c-b863-38bc449e73ff	211	14.4	18	2	50
b843de8b-a00a-4881-b179-996e6936b53d	61	8.2	9	2	33
0c180ffa-e973-450d-8f2d-18a23c62cb8a	137	18.0	20	3	50
b1c20c58-a919-483e-a06c-f55bc5974b90	105	27.7	33	6	50
1c0fd252-2a1e-4fac-a46e-2d9ac71a8a49	208	20.7	24	6	47
ca974d41-87b5-4852-ad92-7e97ec2b940e	101	10.3	11	3	36
3be8c983-7b77-42f6-a1c1-937871615bf5	452	20.6	25	4	50
72317503-5c4f-4655-ab4d-af3a12e08a01	130	20.7	27	5	50
6146a633-1607-4828-b33c-213dd8ab30cd	101	11.9	12	3	34
6dcb935d-21de-4567-8aa8-f2bbae210c30	224	13.9	15	3	50
bb0acf76-8fe9-4969-9393-012209d30eb4	62	7.4	7	4	19
cf09e82a-4dcd-4dbf-8137-1b383205bc51	139	21.7	31	5	50
7bad45b5-cd09-4525-8ea7-30cee2cc2225	177	14.4	16	2	50
761b2066-e883-4fd6-b6dc-75390f2e8441	100	24.7	35	4	50
52634967-5c26-436f-94af-7e4ecf779136	122	25.3	29.5	4	50
d7ae3ed9-bc06-43af-bf73-21aeea10707a	127	19.1	25	3	50
d6d167b0-d40f-4c09-8b7c-5bf7f886ab9f	1333	24.5	30	3	50
2484bfa2-c79a-41e9-8fe9-dc1c739f1cbd	308	23.3	27	4	39
ece81e76-ee18-475a-9c8d-fa759b740acf	238	23.9	30	3	50
4fa8ae48-affe-45f6-b68e-be67d4dcc0d0	215	15.6	19	3	50
dfeefe0e-2368-4b5a-9bda-82d44db576f5	133	23.8	32	3	48
6d0710c6-dccf-42a2-b85f-bd6137c36944	55	36.3	38	10	50
ad08fc91-e7ec-4092-b5f8-f8cb5915c29d	122	14.5	14.5	3	50
80432005-22a5-408f-b270-c5bd3a5ac471	62	25.4	27	9	43
e432a9ea-a5de-491c-a007-1e8f9a25d1aa	134	18.0	20.5	4	50
52642483-0acf-4a66-8fd4-540bf8cc1c22	131	30.3	34	6	50
15367cbd-3ed9-42d1-a44f-00654d4e5ee3	127	14.1	15	3	50
e8600fd1-779a-4df7-813f-18daf81b2319	70	16.1	26.5	3	50
2d9d2718-2ce4-4b0c-b74b-0d2e6be6738c	83	11.0	8	2	50
a492544e-85ae-49e4-a5a0-d6a418dc4fc9	137	24.3	34	4	46
676b0bd2-0255-48df-ab8f-3fd0995c7a92	743	25.6	35	3	50
8dfbed9c-dc95-477d-86fd-078359a4c8fa	76	15.0	17	3	40
65f19e72-327a-4cf7-8081-f5b2381f7833	111	13.1	20	2	39
8f39b70b-1ed8-45aa-aeb6-c64dcd3b21b6	123	17.1	22	3	50
7717940c-6fe5-4454-b537-fdb21f3c223e	117	13.7	14	3	50
adfa6d1d-8e08-4e9e-a170-e9d13b968424	158	21.3	28	4	50
