sample_id	total	phosphate_containing_compound_metabolic_process	fructose_6_phosphate_metabolic_process	fructose_2_6_bisphosphate_metabolic_process	phosphagen_metabolic_process	phospholipid_metabolic_process	nucleoside_phosphate_metabolic_process	phosphorylation	dephosphorylation	glucose_1_phosphate_metabolic_process	glyceraldehyde_3_phosphate_metabolic_process	deoxyribose_phosphate_metabolic_process	ribose_phosphate_metabolic_process	fructose_1_6_bisphosphate_metabolic_process	X7_8_dihydroneopterin_3__triphosphate_biosynthetic_process	thiamine_diphosphate_metabolic_process	pyridoxal_phosphate_metabolic_process	molybdopterin_cofactor_metabolic_process	inositol_phosphate_metabolic_process	glucose_6_phosphate_metabolic_process	xylulose_5_phosphate_metabolic_process	alditol_phosphate_metabolic_process	X1_deoxy_D_xylulose_5_phosphate_metabolic_process	carbamoyl_phosphate_metabolic_process	D_tagatose_6_phosphate_metabolic_process	D_glycero_D_manno_heptose_7_phosphate_metabolic_process	methanopterin_containing_compound_metabolic_process	lipid_X_metabolic_process	Remaining
0159_AB10_26151_20180725_ST	1069476	205.25	761.666666666667	6	9	947.019642857143	6749.12004801097	48976.7562169312	1031.35833333333	0	158.511904761905	52.1064814814815	635.975598422496	97	26.5833333333333	136.055555555556	9.40277777777778	33.9333333333333	14.8425925925926	127.944444444444	25.0555555555556	138.925925925926	62.2222222222222	6.18518518518519	15.9814814814814	4.83333333333333	0.444444444444444	0	1009243.82492235
0159_AB10_26080_20180706_ST	1061997	139.333333333333	644.777777777777	4.5	3.77777777777778	1020.95130621693	6791.24004862336	56013.5514550264	778.504166666667	0	150.375	66.9801587301587	620.495695301783	54.611111111111	42.8541666666667	144.564814814814	17.0416666666667	30.0166666666667	11.8842592592593	103.055555555556	25.1111111111111	154.5	67.8518518518519	4.96296296296297	13.0555555555556	3.77777777777778	0.12962962962963	0	995089.096150916
0159_AB10_26064_20180516_ST	1046152	186.533333333333	622.5	10.8333333333333	9	922.234953703704	7005.40592278235	43848.7383156966	953.15	0	148.013888888889	90.2665895061728	644.745313214449	86.1666666666667	33.5833333333333	121.666666666667	10.1190476190476	44.5277777777778	16.3148148148148	111.027777777778	15.5	238.333333333333	52.7407407407408	10.4444444444444	11.8518518518519	3.11111111111111	5.01851851851852	0	990950.172264885
0159_AB10_103281_20180518_ST	1045570	205.5	692	9.33333333333333	4.22222222222222	925.714814814814	7099.1912234225	46784.4935185185	1140.95	0	143.766666666667	58.3933899176955	677.794346707819	79.5	34.8333333333333	150.777777777778	14.2361111111111	47.8083333333333	16.1111111111111	138.25	22.6111111111111	149.733333333333	57.7407407407408	9.72222222222222	21.3518518518519	2.66666666666667	0	0	987083.297891804
0159_AA34_42157_20180706_ST	1039069	112.75	727.944444444443	4.33333333333333	8.11111111111111	813.132175925926	6093.78376171696	47101.2869047619	979.158333333333	0	126.197222222222	49.7651320301783	567.735841906721	84.6666666666667	31.5416666666667	120.944444444444	6.48842592592592	30.2833333333333	15.4166666666667	114.111111111111	27.4	105.931481481481	59.8888888888889	7.74074074074074	14.3888888888889	3.55555555555556	0	0	981862.443868844
0159_AK37_71026_20180902_ST	1036160	155.5	635.333333333333	18.6666666666667	4.44444444444444	879.632175925926	6774.6798700111	46442.3382936508	1301.75416666667	0	110.152777777778	53.6199600725064	638.451442411326	90.5	31.25	124.972222222222	6.4375	42.65	15.3472222222222	159.638888888889	20.4722222222222	156.374074074074	48.2962962962963	10.1481481481481	20.2037037037037	1.72222222222222	0	0	978417.41436904
0159_AA34_42292_20181127_ST	1021463	236.25	880.333333333333	0.166666666666667	9.22222222222222	847.570138888889	7450.41716106538	36583.4402777778	1034.56666666667	0	131.652777777777	48.4436299725651	721.056470764746	100.833333333333	28.6875	152.87962962963	15.0694444444444	58.3555555555557	12.1296296296296	112.722222222222	32.0555555555556	141.024074074074	68.3703703703703	12.7037037037037	29.7037037037037	2.55555555555556	0	0	972752.790377086
0159_AA34_42255_20180920_ST	1014298	428.833333333333	787.444444444443	0.666666666666667	30.4444444444444	954.099768518518	7335.04229280979	33503.2353174604	860.058333333334	0	147.486111111111	77.6006087105623	730.100685013717	147.833333333333	19.3333333333333	132.222222222222	9.76388888888889	46.7333333333333	9.58703703703705	108.027777777778	22.1666666666667	153.737037037037	53.037037037037	10.5925925925926	14.4259259259259	1.72222222222222	5.05555555555555	0	968708.750031191
0159_AK37_71064_20190705_ST	996805	132.95	625.777777777777	5	16.7777777777778	846.962764550264	6379.1302171925	43541.0974206349	849.45	0	129.586111111111	63.3155006858711	611.014901834705	68.5	52.6666666666667	135.388888888889	9.27777777777778	32.2277777777778	20.4370370370371	111.944444444444	19.0833333333333	146.740740740741	48.0277777777778	7.07407407407408	11.7592592592592	8.55555555555555	0.203703703703704	0	942932.050491398
0159_BE31_82031_20200116_ST	992379	87.8166666666667	683.666666666667	2.83333333333333	20.7777777777778	739.496759259259	6137.11536763505	46240.5685185185	873.258333333333	0	112.061111111111	72.7066370272389	540.496469478737	54.5	37.3541666666667	129.583333333333	5.60416666666667	27.2	21.3611111111111	116.555555555556	26.7777777777778	91.8388888888888	53.8148148148148	9.07407407407408	11.7222222222222	7.88888888888889	0	0	936274.927359193
0159_AB18_101695_20191018_ST	990572	178.2	674.666666666667	2.33333333333333	23.8888888888889	845.25625	6617.53442072474	42267.508068783	854.933333333333	0	137.155555555556	68.0365655006858	617.592283950617	83	37.8958333333333	124.962962962963	6.64583333333333	21.9	15.9722222222222	104.75	17.4722222222222	136.837037037037	57.4814814814814	6.42592592592592	16.7037037037037	5.55555555555555	0	0	937649.291855485
0159_AQ29_10074_20180405_ST	986347	160.75	782.222222222223	1.16666666666667	14.1111111111111	842.455092592593	7923.5337177069	31867.0126322751	1031.89166666667	0	153.930555555556	151.786179698217	703.771062671468	93.8333333333333	32	156.87037037037	10.0208333333333	28.1555555555556	10.3055555555556	96.3611111111112	17.0555555555556	152.494444444445	71.3703703703703	5.62962962962963	17.0185185185186	3.38888888888889	0	0	942019.864926167
