sample_id	total	transmembrane_transporter_activity	amine_transmembrane_transporter_activity	organic_acid_transmembrane_transporter_activity	ion_transmembrane_transporter_activity	carbohydrate_transmembrane_transporter_activity	polyamine_transmembrane_transporter_activity	nucleobase_transmembrane_transporter_activity	heme_transmembrane_transporter_activity	inorganic_molecular_entity_transmembrane_transporter_activity	siderophore_transmembrane_transporter_activity	efflux_transmembrane_transporter_activity	organophosphate_ester_transmembrane_transporter_activity	nucleobase_containing_compound_transmembrane_transporter_activity	oxidative_phosphorylation_uncoupler_activity	toxin_transmembrane_transporter_activity	passive_transmembrane_transporter_activity	active_transmembrane_transporter_activity	macromolecule_transmembrane_transporter_activity	amide_transmembrane_transporter_activity	xenobiotic_transmembrane_transporter_activity	modified_amino_acid_transmembrane_transporter_activity	auxin_transmembrane_transporter_activity	vitamin_transmembrane_transporter_activity	azole_transmembrane_transporter_activity	carbohydrate_derivative_transmembrane_transporter_activity	poly_beta_1_6_N_acetyl_D_glucosamine_transmembrane_transporter_activity	organic_hydroxy_compound_transmembrane_transporter_activity	sulfur_compound_transmembrane_transporter_activity	Remaining
0159_AP39_21392_20180504_ST_E21	9183545	218341.433333333	178	15877.9879960317	97487.3873842592	16845.1875	599.229166666667	11546.5	557.25	47101.7812665344	4423.33333333333	63920.5833333333	29.3055555555556	1846.45	0	91.3333333333333	21668.1159722222	141688.361789021	8801.66666666667	11808.3333333333	37189.0916666667	330.75	0	2428.06944444445	123.958333333333	2743.42222222222	87	1907.16666666667	1372.16964285714	8474551.13206019
0159_AB18_26463_20190528_ST	9168632	218394.75	114.666666666667	19717.5632738095	93691.9119802188	15616.95	726.458333333333	12632.5833333333	713.666666666666	52019.0065806878	4989.16666666667	48649.875	110.872685185185	1920.61666666667	0	206.333333333333	24826.1402777778	148588.856084656	7576.26388888889	8895.21944444445	35944.1777777778	224.125	0	2945.94166666666	282.25	3049.73935185185	595	1560.98333333333	1525.92876984127	8463112.95321819
0159_AB18_26642_20200320_ST	9164487	295030.683333333	259.888888888889	20246.3900793651	105222.580340608	26645.5930555556	622.1875	14769.3333333333	964.15	50470.8106977513	9634.66666666666	59124	261.799768518519	3837.33125	0	362	50160.16875	158761.158366402	8747.50555555556	12208.3	34953.8638888889	392.777777777778	0	2337.08611111111	155.208333333333	5807.47824074074	173	3083.95555555556	1489.18293650794	8298765.8995701
0159_AB18_26716_20200820_ST	9009159	183792.328571429	116.666666666667	18763.3685606061	90436.1854587542	13238.4532828283	483.476010101011	11493.4242424242	370.083333333333	50339.2122685185	3281.33333333334	42810.0833333333	25.3888888888889	1151.85	0	41	18279.7638888889	151799.921239177	7151.70833333333	6683.35277777778	39251.8611111111	256.708333333333	0	2984.68106060606	282.5	1784.57222222222	0	1144.97222222222	1620.04722222222	8361576.05763889
0159_AZ03_32059_20190918_ST	8999189	231614.516666667	119.666666666667	12316.55	97110.5150297619	16378.1118055556	418.42361111111	7648.91666666667	690.083333333333	44189.7113921958	8679.83333333334	83714.1666666666	22.2592592592593	1911.76666666667	0	163	24326.1465277778	127104.167113095	10548.5694444444	9896.35555555556	34014.3888888889	353.75	0	1853.32777777778	92.5833333333333	2814.97037037037	6.5	1569.33333333333	1142.53611111111	8280488.85044643
0159_AB18_26560_20191009_ST	8938983	199890.2	31.1111111111111	13546.73125	91281.6039682539	16216.5979166667	440.92361111111	9414.83333333333	489.666666666667	45574.51494709	6097.33333333333	68367.95	66.4178240740741	1771.98541666667	0	101	22851.2152777778	133209.027116402	9854.83333333333	9258.56944444445	35749.5777777777	270.791666666667	0	2042.43055555556	196.166666666667	2622.36157407407	7.5	1301.72222222222	1385.1875	8266942.74748677
0159_AY44_33007_20170914_ST	8937757	208089.6	182	13184.7256944444	96822.6769675926	14165.9236111111	607.01388888889	11091.5833333333	588.916666666667	46297.4672453704	3658.5	67413.25	2.12962962962963	2053.04166666667	0	72.5	23751.1854166667	138297.012615741	9158.45833333333	15132.6805555556	41983.7222222222	489.208333333333	0	2678.98611111111	133.333333333333	2836.08796296296	4	1812.19444444444	1261.77083333333	8235989.03113426
0159_AB18_26741_20201114_ST	8932685	181127.55	154	16764.5972222222	90435.5282407408	15378.0069444445	506.36111111111	11394	341.45	47446.468287037	4133.5	49847.4583333333	10.4826388888889	1310.34375	0	55.3333333333333	17643.8263888889	147091.140509259	8153.29166666667	8951.83611111111	42705.3277777778	234.791666666667	0	2838.80833333333	306.25	2025.70138888889	5.5	1212.44444444445	1716.82222222222	8280894.17962963
0159_AQ29_10011_20170731_ST	8901921	156398.333333333	65	17051.3597222222	89923.8283564815	11129.0388888889	581.972222222223	17107	244.833333333333	49349.8283564815	2575.58333333333	30935.5833333333	51.7094907407407	2224.46875	0	32	20844.8819444444	149506.404398148	8403.56249999999	9235.15555555556	33971.5222222222	230.375	0	1699.68333333333	235.25	2876.02546296296	8.5	2289.36111111111	1563.7875	8293385.95185185
0159_AP39_21372_20180327_ST_E21	8895435	204837.25	159.333333333333	14817.1183333333	87699.5504662699	15798.3263888889	449.98611111111	8728.5	406.333333333334	45250.0826058201	4862.83333333334	66540	41.7928240740741	1705.96041666667	0	54.1666666666667	19944.1055555556	137312.249818122	8527.16666666667	9833.76666666666	37562.1666666667	390.25	0	2228.225	202.625	2425.04490740741	3.5	1270.91666666667	1343.83611111111	8223039.91312831
