sample_id	total	catalytic_activity__acting_on_a_protein	peptidyl_prolyl_cis_trans_isomerase_activity	protein_disulfide_isomerase_activity	dihydrolipoyllysine_residue_succinyltransferase_activity	dolichyl_phosphate_mannose_protein_mannosyltransferase_activity	holocytochrome_c_synthase_activity	peptidylamidoglycolate_lyase_activity	polypeptide_N_acetylgalactosaminyltransferase_activity	protein_kinase_activity	protein_lysine_6_oxidase_activity	phosphoprotein_phosphatase_activity	dihydrolipoyllysine_residue_acetyltransferase_activity	peptidase_activity	protein_methyltransferase_activity	protein_prenyltransferase_activity	palmitoyl__protein__hydrolase_activity	protein_tyrosine_sulfotransferase_activity	microtubule_severing_ATPase_activity	ubiquitin_like_modifier_activating_enzyme_activity	X_acyl_carrier_protein__phosphodiesterase_activity	X_protein_PII__uridylyltransferase_activity	phosphatidylglycerol_prolipoprotein_diacylglyceryl_transferase_activity	protein_disulfide_reductase_activity	protein_N_acetylglucosaminyltransferase_activity	aminoacyltransferase_activity	lipoate_protein_ligase_activity	biotin_protein_ligase_activity	deoxyhypusine_monooxygenase_activity	protein_cysteine_S_acyltransferase_activity	ubiquitin_like_protein_transferase_activity	protein_xylosyltransferase_activity	peptidyl_proline_dioxygenase_activity	protein_lysine_deacetylase_activity	lipoyl_octanoyl__transferase_activity	protein_deglycase_activity	peptide_O_fucosyltransferase_activity	X_glutamine_synthetase__adenylyl_L_tyrosine_phosphorylase	protein_glucosylgalactosylhydroxylysine_glucosidase_activity	protein_methylesterase_activity	peptide_lysine_N_acetyltransferase_activity	microtubule_plus_end_polymerase	peptidyl_aspartic_acid_3_dioxygenase_activity	protein_glycine_ligase_activity	protein_glutamic_acid_ligase_activity	peptidyl_lysine_5_dioxygenase_activity	protein_O_GlcNAc_transferase_activity	protein_ribulosamine_3_kinase_activity	protein_methylthiotransferase_activity	catalytic_activity__acting_on_a_glycoprotein	protein_demethylase_activity	ATP_dependent_histone_chaperone_activity	NAD__protein_ADP_ribosyltransferase_activity	Remaining
0159_BE31_82033_20191106_ST	1735664	0	2632.33333333333	0	14.5	100	0	0	0	4316.68333333333	0	1514.66666666667	1	33174.2587797619	567.988888888887	0	0	4.5	0	598.333333333335	14.5	8.25	403.5	692.597222222222	0	568.875	14.3333333333333	239.541666666666	0	0	5.125	51.3333333333335	0	61.1785714285714	98	0	0	2.39166666666666	0	59.2083333333335	0	0	0	0	0	0	0	0.75	141.291666666666	37.9583333333333	0	0	201.666666666666	1690139.23487103
0159_AB18_26436_20191018_ST	1719207	0	2264.33333333333	0.5	6.225	20	0	0	0	4547.38055555556	0	1554.625	2.33333333333333	29307.8647321429	578.311111111111	0	0	0	0	408.916666666667	0	12.5	408	695.229166666667	0	711.458333333333	5.44444444444443	166.566666666666	0	0	8.25	27.5	0	66.9255952380951	29	0	0	6.35	0	43.3333333333333	0	0	0	0	0	0	0	0	150.2	98.4166666666665	0	0	73	1678014.33606151
0159_AB10_26721_20201210_ST	1716235	0	2969.66666666667	0	1.625	129	4	0	0	3675.70734126984	0	1622.75	0.333333333333333	30097.7626488095	528.925	0	0	2	0	521.833333333335	1.5	16	451	689.944444444444	0	419.458333333333	18.6666666666667	236.633333333333	0	0	8.25	67.25	0	62.05	33.9166666666667	0	0	8.99166666666665	0	44.2083333333333	0	0	0	0	0	0	0	0	153.2	42.5	0	0	29	1674398.82723214
0159_AJ09_750030_20190922_ST	1708860	0	2739.5	0.5	7.125	110.5	0.5	0	0	4102.80079365079	0	1654.66666666667	4.33333333333333	30253.9508928571	576.386111111109	0	0	4	0	460.75	10.5	6.5	403.5	686.458333333333	0	552.791666666667	26.3333333333333	247.95	0	0	4	27	0	65.0083333333335	72.9166666666665	0	0	4.60833333333334	0	62.4166666666665	0	0	0	0	0	0	0	0.25	153.6	62.0833333333335	0	0	160	1666399.07053571
0159_AK37_71069_20190718_ST	1695034	0	2387.91666666667	1	56.95	99.75	0	0	0	4597.5626984127	0	1637.375	9	28345.30625	526.463888888889	0	0	1	0	527.666666666665	10.5	16.0833333333333	433.5	692.520833333333	0	497.375	44.8333333333333	229.558333333334	0	0	3.75	22.75	0	55.3749999999999	128.166666666666	12.375	0	1.99166666666666	0	58.3333333333335	0	0	0	0	0	0	0	0	140.433333333334	129.333333333333	0	0	27.5	1654339.6296627
0159_AA34_42441_20190629_ST	1693748	0	2650.25	0	1.5	109.5	0	0	0	4824.55555555556	0	1521.5	0	27679.228125	556.974999999998	0	0	0	0	413.916666666667	38	9.58333333333335	373	635.152777777778	0	329.791666666667	25.5	229.666666666666	0	0	1	48.25	0	59.2916666666665	77.25	0	0	3.925	0	68.2916666666665	0	0	0	0	0	0	0	0	127.725	123.708333333333	0.1875	0	19.6666666666667	1653820.584375
0159_AQ29_10084_20180505_ST	1687690	0	3016.5	0	8.3	34.5	0	0	1	3667.60277777778	0	1291.91666666667	8.53333333333333	31876.6463293651	456.8625	0	0	9.5	0	770	11.5	20.6666666666667	451.5	683.965277777778	0	487.333333333333	33.5	255.666666666666	0	0	0.125	102.916666666667	0	34.7892857142857	81	8.25	0	1.9	0	46.875	0	0	0	0	0	0	0	0	138.458333333334	75.1666666666665	0	0	43.6666666666667	1644071.35882937
0159_AB10_26098_20180626_ST	1683717	0	2711.16666666667	0.5	7	20	1.25	0	0	4682.9	0	974.875	0.666666666666667	36213.5876488095	445.433333333334	0	0	0	0	453.916666666667	23	10.75	345.5	738.784722222222	0	372.708333333333	13.1666666666667	194.333333333334	0	0	2.25	32.5	0	46.35	111.166666666667	0	0	7.55	0	75	0	0	0	0	0	0	0	0	102.666666666667	34.4166666666667	0	0	53.4166666666665	1636042.14429563
0159_AY44_33281_20191203_ST	1676749	0	2858.16666666667	0	1	48.5	0	0	0	4812.4625	0	1159.04166666667	11.6666666666667	31524.1153273809	443.633333333333	0	0	0	0	493.166666666667	8.5	1.25	346	787.180555555556	0	674.875	22.5	241.675	0	0	0	68	0	56.1357142857143	149.1	0	0	0.1	0	56.5416666666665	0	0	0	0	0	0	0	0	130.958333333334	44.6666666666667	0	0	24.5	1632785.26423611
0159_AB10_26036_20180417_ST	1676233	0	2590	0.5	16.7	22	0.5	0	0	4337.70277777777	0	1226.625	6.13333333333333	26586.8907738095	456.746527777778	0	0	0	0	361.083333333333	3.5	6.08333333333335	355.5	884.763888888889	0	738.041666666667	14.1666666666667	182.616666666667	0	0	7.5	112	0.5	68.2916666666665	169.75	1.125	0	0.35	0	15.9583333333333	0	0	0	0	0	0	0	0	134.158333333334	116.75	0	0	13.75	1637803.31269841
0159_AQ29_10057_20180226_ST	1658636	0	2207.25	0	21.075	52	0.25	0	0	4392.27361111111	0	1389.79166666667	19.8	23726.2260416667	561.684027777778	0	0	0	0	437.666666666667	43	27.75	346.75	642.326388888889	0	372.958333333333	56.5	193.708333333334	0	0	0	32.75	0	61.2	83.25	2.125	0	1.8	0	51.6666666666665	0	0	0	0	0	0	0	0	127.016666666666	98.1666666666665	0	0	2	1623685.01493056
0159_AB18_102750_20191024_ST	1641964	0	2182.91666666667	0	1.125	57	0.5	0	0	4378.53690476191	0	1260.15476190476	0.333333333333333	34003.5233630952	477.194444444445	0	0	0	0	484.166666666667	34.5	6.91666666666665	347	606.5	0	539.333333333333	21	184.875	0	0	5	53.75	0	57.9166666666665	65.05	23.5	0	4.38333333333333	0	62.4166666666665	0	0	0	0	0	0	0.25	0.25	104.833333333333	43.7083333333333	0	0	35.4166666666667	1596921.94885913
