sample_id	total	organophosphate_metabolic_process	fructose_6_phosphate_metabolic_process	fructose_2_6_bisphosphate_metabolic_process	phosphagen_metabolic_process	phospholipid_metabolic_process	nucleoside_phosphate_metabolic_process	glucose_1_phosphate_metabolic_process	organic_phosphonate_metabolic_process	glyceraldehyde_3_phosphate_metabolic_process	deoxyribose_phosphate_metabolic_process	ribose_phosphate_metabolic_process	fructose_1_6_bisphosphate_metabolic_process	thiamine_diphosphate_metabolic_process	pyridoxal_phosphate_metabolic_process	molybdopterin_cofactor_metabolic_process	inositol_phosphate_metabolic_process	organophosphate_catabolic_process	glucose_6_phosphate_metabolic_process	xylulose_5_phosphate_metabolic_process	alditol_phosphate_metabolic_process	X1_deoxy_D_xylulose_5_phosphate_metabolic_process	carbamoyl_phosphate_metabolic_process	organophosphate_biosynthetic_process	D_tagatose_6_phosphate_metabolic_process	D_glycero_D_manno_heptose_7_phosphate_metabolic_process	methanopterin_containing_compound_metabolic_process	lipid_X_metabolic_process	Remaining
0159_AV42_66149_20190809_ST	8761743	608.5	6132.1111111111	48.6666666666667	60	8510.71377314815	61152.2453457933	0	1212.16666666667	1309.04444444444	519.192978395062	5786.15681527206	761.166666666667	1201.5462962963	116.534722222222	359.916666666667	71.3472222222222	2906.75601851851	723.5	117.361111111111	1351.35740740741	494.814814814814	57.8888888888889	15047.683222951	149.037037037037	15.3333333333333	1.25925925925926	0	8653028.6995311
0159_AB10_26071_20180518_ST	8746727	825	6474.66666666667	72	97.8888888888889	7390.32951388889	56062.0504874584	0	1843.11111111111	1064.61666666667	461.000514403292	5332.2312297913	765.666666666667	1200.59259259259	111.430555555556	427.98611111111	162.629629629629	3424.9591563786	1243.66666666667	285.944444444444	1014.65833333333	457.185185185186	65.0740740740741	14729.6437628601	171.259259259259	27.2777777777778	0	0	8643016.13070559
0159_AB18_100031_2019062_ST	8655325	742.333333333333	6126.33333333333	51.8333333333333	69.5555555555555	8569.44576719576	64334.3286323813	0	1171	1219.85158730158	532.781207133059	6255.68710250098	835.38888888889	1284.37962962963	122.583333333333	558.020634920633	96.4305555555555	2959.95532407407	793.213888888888	190.75	1401.57777777778	494.753703703703	113.981481481481	17050.501739173	233.055555555556	23.7592592592592	5.57407407407407	0	8540087.92430162
0159_AP39_21082_20180405_ST	8572328	759.5	2769.44444444444	178.333333333333	71.3333333333333	6158.12292493387	68649.0092174538	0	1066.91666666667	1124.34722222222	619.370400989614	6626.09492626886	547	1443.35185185186	194.9375	510.394444444443	218.268518518518	2927.641005291	1842.75	95.8888888888889	1145.26111111111	423.259259259259	46.7962962962963	16027.6024033044	263	27.3333333333333	0	0	8458592.04291805
0159_AP39_21264_20180816_ST_E21	8553833	572.333333333333	6531.5	33.8333333333333	70.3333333333333	7239.37141203704	57315.4819804935	0	2418.33333333333	1123.05277777777	552.459405006858	5478.23442239859	742	1055.7037037037	82.5486111111111	353.225	124.648148148148	3168.95751028807	851.805555555555	173.666666666667	1340.13703703704	504.185185185186	68.5740740740741	14065.0560292353	166.851851851852	20.8333333333333	0	0	8449779.87396276
0159_AA34_42416_20190508_ST	8510918	2755.5	2062.66666666667	37	28.1111111111111	6363.27390873016	66134.5201861242	0	5976.66666666667	317.576388888889	420.330755193024	6685.06001745297	278.444444444444	788.425925925925	67.9236111111111	484.61111111111	226.018518518518	5737.40800264551	1664.55555555555	182.166666666667	2165.61851851852	220.037037037037	16.9259259259259	12726.4740895368	944	39.8888888888889	0	0	8394594.79600328
0159_AZ03_32035_20181025_ST	8489016	503.833333333333	5824.77777777777	21	98	7977.16990740741	57103.9692295381	0	1051	1199.61527777777	485.20329218107	5362.95553226451	793.88888888889	1134.26851851852	69.2152777777778	346.15	116.939814814815	2596.23518518519	867.333333333333	161.638888888889	1047.31944444445	472.287037037037	54.7962962962963	14394.6987772205	141.925925925926	17.5	0	0	8387174.27826139
0159_AV42_66190_20190924_ST	8488107	829	5491.33333333333	53.5	75.3333333333333	6313.24710648148	51228.1857612761	0	2265.61111111111	1039.80555555556	549.488383058985	4807.66902177641	563.833333333333	1098.37962962963	60.9652777777778	318.6	141.296296296296	3466.40092592592	1088.04166666667	254.216666666667	1065.84166666667	428.555555555555	66.7407407407408	12736.6886604693	101.759259259259	66.8888888888889	0	0	8393995.6178262
0159_AZ03_32001_20171108_ST	8443810	554.5	6355.1388888889	26.8333333333333	116.814814814815	6504.85604332011	56971.5031003413	0	2860.02777777778	1174.35634920635	450.82733686067	5482.80927954961	828.055555555557	923.274074074074	57.5486111111111	298.069444444444	127.823148148148	3344.50479129924	933.875	224.8	1212.13333333333	425.87037037037	84.2962962962963	13107.0548176318	128.833333333333	22.7222222222222	7.22222222222221	0	8341586.24985586
0159_AB18_26823_20210214_ST	8439580	1185	5249.6111111111	31	56.4444444444444	7292.97356150793	52581.0045116026	0	4567.83333333333	919.240625	371.772548010974	4900.33760973937	597.333333333333	1036.44444444444	70.5625	460.633333333333	212.773148148148	4009.1749228395	972.888888888888	196.444444444444	1511.56296296296	353.361111111111	64.3148148148148	13457.6991536841	149.185185185186	20.9444444444444	0	0	8339311.45956762
0159_AP39_21069_20181105_ST	8426347	376.666666666667	5799.66666666667	35.5	92.5555555555555	6378.61259920635	60569.6457516004	0	2230.66666666667	1079.58472222222	2017.63846021948	4738.33361711248	595.333333333333	1000.32407407407	52.2638888888889	262.716666666667	128.101851851852	3525.29012345679	1156.06944444444	140.277777777778	1382.12592592593	391.518518518519	68.1666666666667	12412.4251729987	87.5925925925926	25.2777777777778	0	0	8321800.64547911
0159_AZ03_32044_20181207_ST	8425076	438	5698.94444444443	16.6111111111111	79.5555555555555	7270.11724537037	54888.8658267604	0	1829.16666666667	1175.29027777777	605.053026406036	4968.25310699588	862.277777777777	1041.7962962963	57.4861111111111	242.044444444444	133	3081.36273148148	949.027777777778	130.75	1297.04537037037	460.532407407408	45.0555555555556	13000.4053412209	135.240740740741	23	0	0	8326647.11818473
0159_AB18_26644_20200419_ST	8424109	908	5688.5	20.3333333333333	37.8888888888889	7580.02576058201	55124.2160633451	0	2904.5	1124.44801587302	581.213634136783	5071.69968549954	790.333333333333	1082.90740740741	64.3611111111111	343.633333333333	128.652777777778	3443.27935038213	981.916666666667	137.444444444444	1381.83611111111	427.62962962963	53.037037037037	13375.0085720103	131.611111111111	29.7777777777778	11.2777777777778	0.166666666666667	8322685.30151076
0159_AP39_21351_20180313_ST_E21	8417150	1015.5	5212.30555555557	21.1666666666667	54.2222222222222	7628.71450066137	56063.5123785437	0	1289.27777777778	1249.48194444444	470.729209533607	5210.03495156036	496.277777777777	1226.49074074074	134.668981481481	357.077777777778	60.7870370370372	3031.69351851852	613.833333333333	156.702380952381	1069.30185185185	500.481481481481	42.2407407407408	13839.2403321269	168.018518518519	17.4444444444444	0	0	8317220.79587625
0159_AZ03_32014_20180605_ST	8390596	1168.16666666667	6350.66666666667	93.8333333333333	43.8888888888889	7292.28845899471	53397.2322335717	0	2826.77777777778	955.583333333333	446.351551783264	5020.95840014452	602.666666666667	1038.62037037037	49.7847222222222	312.944444444444	147.657407407407	4075.92453703704	1271.05555555555	159.694444444444	1245.80925925926	455.518518518519	79.9259259259259	13181.3395459779	125.944444444444	10.4444444444444	0	0	8290242.92240212
0159_AB18_26737_20200831_ST	8367500	340.666666666667	5814	29.3333333333333	45.4444444444444	6436.98900462964	50664.2011248285	0	2872.75	988.197222222225	456.785622427984	4743.83727409122	627	1036.90740740741	43.2222222222222	299.608333333333	152.083333333333	3642.14657921811	1025.5	153.638888888889	1271.42685185185	420.037037037037	49.037037037037	12213.3514531893	125.944444444444	34.6666666666667	0	0	8274013.22505272
0159_AZ03_32004_20171027_ST	8360874	258.333333333333	6612.16666666667	25.6666666666667	134.222222222222	7179.94799382717	59778.7501068407	0	1834.83333333333	1236.45555555556	423.138765187145	5737.51331300215	935.833333333333	1085.99074074074	79.3171296296296	358.761111111111	96.435185185185	3244.3213122183	744	207.044444444444	1226.21574074074	468.351851851852	90.037037037037	14313.3581150181	173.333333333333	13.6111111111111	0	0	8254616.36159761
0159_AB18_26754_20201209_ST	8357912	1232.83333333333	5365.3888888889	23.5	54.7777777777778	7470.07468584656	54756.1415839539	0	3160.5	1046.9	404.609861845973	5087.75765268796	690.055555555557	1112.7037037037	76.25	429.733333333333	111.185185185185	3480.00356591711	935.777777777778	169.027777777778	1442.13888888889	401.842592592592	55.462962962963	13667.9649458652	190.555555555556	26.7222222222222	0	0	8256520.09214833
0159_AB18_26552_20201105_ST	8316932	566.833333333333	5867.83333333333	29.6111111111111	18.1111111111111	6306.55524140212	48292.2294611421	0	3112.66666666667	980.652777777775	542.081618655693	4396.64934672823	566.61111111111	965.851851851852	49.4513888888889	241.311111111111	187.268518518518	3703.44305555556	1099.80555555555	278.472222222222	1235.34259259259	432.703703703703	59.1481481481481	11735.3240538654	90.1111111111111	58.8888888888889	0.074074074074074	0	8226114.96861154
0159_AY44_33008_20170913_ST	8307873	454.666666666667	5847.84444444443	38	68.7777777777778	7573.44820601852	58650.3348443726	0	1258.27777777778	1269.32638888889	468.582163678229	5553.70490434548	810.277777777777	1105.68518518519	72.0902777777778	344.455555555556	100.415740740741	2841.37348985891	887.394444444445	138.233333333333	1396.77314814815	475.472222222222	68.0740740740741	13964.9145922129	136.907407407408	17.2777777777778	2.90740740740741	0	8204327.78439211
0159_AA34_42464_20191002_ST	8295044	5400.33333333333	2275	148.333333333333	7.88888888888889	7021.88583002646	41578.4698604579	0	12235.8055555556	438.277777777777	331.324870174407	3931.44022429617	151.833333333333	776.287037037037	75.3125	761.866666666667	152.527777777778	5556.4703042328	1310.61111111111	284.277777777778	2874.22592592593	104.342592592593	19.3703703703703	11461.5043806952	300.944444444444	51.7777777777778	0	0	8197793.88832641
0159_AP39_21352_20180307_ST_E21	8291988	505	5081	34.5	18.2222222222222	6245.83159722223	53081.8380695588	0	3710.66666666667	992.013888888892	459.909507887517	4877.7349382716	539	1110.97222222222	77.6319444444444	229.411111111111	178.407407407407	4116.42515432099	1447.92222222222	196.677777777778	1103.13148148148	518.740740740741	58.1666666666667	12299.8637517147	77.1481481481481	16.2222222222222	0	0	8195011.56225881
0159_AB18_26792_20210219_ST	8291944	383.5	6003.22222222223	22	75.7777777777778	7617.80208333334	58782.34354579	0	1021.41666666667	1302.03472222222	505.627889231824	5496.24246944199	609.166666666667	1249.06481481481	160.835648148148	288.038095238095	53.0462962962963	2752.55801183128	587.875	136.515079365079	1026.4712962963	550.212962962963	50.2037037037037	14465.819372183	175.962962962963	11.5555555555556	1.83333333333333	0	8188614.87382396
0159_AZ03_32020_20180611_ST	8270590	1075.16666666667	5612.1111111111	35	30.7777777777778	7085.31405974427	51578.1857846283	0	2886.33333333333	1021.38888888889	427.878539584558	4849.0430535551	621.11111111111	999.583333333333	59.5069444444444	284.269444444444	199.759259259259	3741.33632789536	1012.86111111111	171.25	1029.92592592593	444.444444444444	43.537037037037	12629.0481385031	97.1111111111111	35.7222222222222	0	0	8174619.33437387
0159_AB18_26703_20200728_ST	8260271	288	5428.33333333333	32.1666666666667	100.518518518518	7968.31828703703	61313.9975616876	0	1550.33333333333	1296.10694444444	515.273105281207	5769.70902839016	882.444444444443	1137.08333333333	79.2430555555555	234.6	89.2240740740739	2757.74976851852	718.394444444445	128.222222222222	1460.62777777778	491.633333333333	90.7962962962963	14552.876976166	137.685185185186	13.1111111111111	0.296296296296296	0	8153234.25490255
0159_AB10_26032_20180430_ST	8236714	2243.33333333333	4789.33333333333	13.8333333333333	14.3333333333333	6748.29384920635	47153.3712831096	0	4763.5	816.291666666667	494.365287575936	4361.47287324858	479	991.953703703703	61.7152777777778	272.766666666667	231.944444444444	4388.6483686067	1283.91666666667	238.388888888889	1470.3	432.194444444444	40.0740740740741	11530.6136295439	117.796296296297	7.77777777777778	0	0	8143768.78146797
