sample_id	total	negative_regulation_of_snRNA_transcription_by_RNA_polymerase_II	Remaining
0159_AY44_33171_20190508_ST	4626696	0	4626696
0159_AP39_21375_20181004_ST_E21	4610098	0	4610098
0159_AK37_71000_20180131_ST	4610092	0	4610092
0159_AY44_33315_20200121_ST	4609931	0	4609931
0159_AA34_42389_20190404_ST	4601776	0	4601776
0159_AB18_26725_20201214_ST	4584638	0	4584638
0159_AB18_26761_20201025_ST	4576192	0	4576192
0159_AC15_76009_20201211_ST	4571708	0	4571708
0159_AB18_26765_20200916_ST	4567380	0	4567380
0159_AB18_26367_20190211_ST	4548299	0	4548299
0159_AA34_42377_20190401_ST	4541997	0	4541997
0159_AP39_21363_20180308_ST_E21	4532542	0	4532542
0159_AB18_26446_20190227_ST	4530568	0	4530568
0159_AZ03_32078_20190616_ST	4506304	0	4506304
0159_AP39_21341_20181113_ST_E21	4483351	0	4483351
0159_AJ09_750052_20190916_ST	4482803	0	4482803
0159_AV42_66193_20191022_ST	4471832	0	4471832
0159_AB18_26774_20210205_ST	4470167	0	4470167
0159_AB10_26814_20210228_ST	4463975	0	4463975
0159_AB18_100015_20190205_ST	4419289	0	4419289
0159_AP39_21554_20181009_ST	4395072	0	4395072
0159_AA34_42181_20180726_ST	4376099	0	4376099
0159_AZ03_32089_20191030_ST	4375241	0	4375241
0159_AP39_21051_20180109_ST	4366842	0	4366842
0159_AV42_66194_20191012_ST	4363289	0	4363289
0159_AV42_66139_20190626_ST	4342016	0	4342016
0159_AY44_33044_20170923_ST	4341268	0	4341268
0159_AZ03_32096_20191217_ST	4296743	0	4296743
0159_AP39_21124_20171116_ST	4295944	0	4295944
0159_AY44_33066_20171009_ST	4252583	0	4252583
0159_AB10_26762_20200915_ST	4240911	0	4240911
0159_AB18_26650_20210105_ST	4210856	0	4210856
0159_AA34_42457_20190805_ST	4191716	0	4191716
0159_AQ29_10097_20180616_ST	4180764	0	4180764
0159_AY44_33253_20190927_ST	4168892	0	4168892
0159_AB18_103302_2019060_ST	4168022	0	4168022
0159_AP39_21042_20171130_ST	4161358	0	4161358
0159_AK37_71033_20180815_ST	4156849	0	4156849
0159_AV42_66175_20190824_ST	4148252	0	4148252
0159_AP39_21346_20180823_ST_E21	4122248	0	4122248
0159_AB10_26613_20200804_ST	4120382	0	4120382
0159_AA34_42268_20181004_ST	4108842	0	4108842
0159_AQ11_10134_20190208_ST	4067389	0	4067389
0159_AK37_71029_20180917_ST	4050970	0	4050970
0159_AB18_26450_20190306_ST	4046677	0	4046677
0159_AV42_66211_20191005_ST	4042449	0	4042449
0159_AP39_21385_20180417_ST_E21	4031561	0	4031561
0159_AB10_26346_20190107_ST	4030957	0	4030957
0159_AC15_76039_20201015_ST	4021559	0	4021559
0159_AA34_42119_201800806_ST	4010091	0	4010091
0159_AV42_66137_20190706_ST	4006161	0	4006161
0159_AP39_21379_20180515_ST_E21	4001759	0	4001759
0159_AB10_26742_20200826_ST	3973242	0	3973242
0159_AA34_42314_20190102_ST	3970090	0	3970090
0159_AB18_26785_20210206_ST	3961423	0	3961423
0159_AA34_42169_20190716_ST	3950321	0	3950321
0159_AH05_15004_20171209_ST	3943032	0	3943032
0159_AV42_66169_20190814_ST	3933065	0	3933065
0159_AB18_26637_20200411_ST	3921343	0	3921343
0159_AY44_33289_20191216_ST	3908432	0	3908432
