sample_id	total	organonitrogen_compound_biosynthetic_process	urea_cycle	sulfur_amino_acid_biosynthetic_process	aminoglycan_biosynthetic_process	phosphatidylcholine_biosynthetic_process	Mo_molybdopterin_cofactor_biosynthetic_process	cellular_amino_acid_biosynthetic_process	aromatic_amino_acid_family_biosynthetic_process	branched_chain_amino_acid_biosynthetic_process	glycoprotein_biosynthetic_process	biotin_biosynthetic_process	nucleoside_biosynthetic_process	amine_biosynthetic_process	alkaloid_biosynthetic_process	pyrroloquinoline_quinone_biosynthetic_process	allantoin_biosynthetic_process	ectoine_biosynthetic_process	glucosinolate_biosynthetic_process	sphingolipid_biosynthetic_process	holo__acyl_carrier_protein__biosynthetic_process	wybutosine_biosynthetic_process	molybdopterin_cofactor_biosynthetic_process	tetrapyrrole_biosynthetic_process	kynurenic_acid_biosynthetic_process	lipoprotein_biosynthetic_process	cellular_modified_amino_acid_biosynthetic_process	taurine_biosynthetic_process	indole_containing_compound_biosynthetic_process	hemoglobin_biosynthetic_process	pteridine_containing_compound_biosynthetic_process	flavin_containing_compound_biosynthetic_process	peptide_biosynthetic_process	nucleobase_biosynthetic_process	N_acetylneuraminate_biosynthetic_process	thiazole_biosynthetic_process	L_pipecolic_acid_biosynthetic_process	purine_containing_compound_biosynthetic_process	pyridine_containing_compound_biosynthetic_process	pyrimidine_containing_compound_biosynthetic_process	primary_amino_compound_biosynthetic_process	Remaining
0159_AJ09_750038_20191031_ST	2046112	608.866666666667	9.08333333333333	398.626388888889	420.876289682542	0	317.1	4980.95124007936	1003.54357142857	1850.55555555555	37.75	283.5625	352.600694444444	230.953703703704	0	0	0	0.4	0	0.166666666666667	0	0	70.2	810.841203703704	0	610	442.446666666667	0	33.8912037037038	0	70.2238888888889	314.083333333333	3823.94722222222	356.722222222223	0	2.83333333333333	0	634.677297668039	338.727777777778	505.972016460906	0	2027602.39722357
0159_AQ29_10083_20180506_ST	2042407	386.333333333333	1.66666666666667	381.326388888889	412.31378968254	0	259.2	4783.21836970899	1009.0425	1696.35092592593	91.25	87.5	483.635802469136	253.753472222222	0	0	0	1.2	0	0	0	0	48.2	486.008333333333	0	584	488.43074074074	0	34.6701388888889	0	105.646358024691	330.369444444444	3824.03148148148	368.027777777778	0	8.88888888888888	0	633.229681069958	328.495833333333	445.339135802469	0	2024874.87093732
0159_AB10_26040_20180417_ST	2039433	506.783333333333	0.166666666666667	279.898611111111	361.697916666667	0	250	3814.57901785714	746.675000000001	1342.61481481482	77.75	354.3125	369.059413580247	194.4375	0	0	0	0	0	0	0	0	54.8	845.036574074074	0	571.666666666667	486.376666666667	0	33.0625	0	99.6019444444444	306.475	2917.88703703704	270.87996031746	0	0	0	509.864197530864	293.961111111111	347.794779541446	0	2024397.61878858
0159_AJ09_750002_20190916_ST	2037328	495.466666666667	17.1666666666667	302.854398148148	381.262367724868	0	325.266666666666	4474.92499448854	877.020000000001	1708.14259259259	50.90625	273.1875	363.569830246914	176.74537037037	0.5	2.08333333333333	0	10	0	0.833333333333333	0	0	83.0666666666666	817.237962962963	0	531.277777777777	473.699722222222	0	30.175925925926	0	83.3887962962963	332.784722222222	3528.44074074074	348.485416666667	0.2	7.04166666666667	0	634.27237654321	313.830555555556	433.295864197531	0	2020250.87183532
0159_AZ03_32017_20180615_STLS	2029493	866.466666666667	8.5	351.283333333333	405.552033730159	0	473.35	4912.59811507937	1033.06940476191	1899.82222222222	46.65625	183.3125	322.836188271605	205.996527777778	0.333333333333333	0	0	0.8	0	0.037037037037037	0	0	100.7	922.472685185185	0	510.333333333333	411.176111111111	0	30.4548611111111	0	64.0656481481481	320.784722222222	3420.08888888889	340.853472222222	0	1.09722222222222	0	674.56378600823	312.626388888889	480.504197530864	0	2011192.66507091
0159_AQ22_10415_20190605_ST	2014470	386.983333333333	4.83333333333333	393.529166666667	456.383531746033	0	587.033333333334	5537.03249007937	1105.07333333333	2110.26111111111	43.125	221.75	332.096064814815	230.583333333333	0.333333333333333	0.166666666666667	0	1.6	0	0	0	0	116.1	955.306481481481	0	546	415.002222222222	0	38.1666666666667	0	60.9375462962963	304.051388888889	3801.93240740741	372.455654761905	0	0.611111111111112	0	748.582561728395	326.816666666667	507.446816578483	0	1994865.80644511
0159_AB10_26348_20190115_ST	2007296	899.066666666667	15.4166666666667	307.759722222222	376.246924603175	0	332.133333333334	4400.36969246032	841.774682539682	1636.77222222222	43.5	292.5625	324.633487654321	206.993055555556	0.166666666666667	0	0	0	0	0.037037037037037	0	0	61.7	785.42037037037	0	422.666666666667	441.129166666667	0	34.8680555555556	0	81.4472222222222	302.313888888889	3215.5787037037	291.925694444444	0	2.77777777777778	0	576.690792181069	290.997777777778	380.142777777778	0	1990730.90844834
0159_AZ03_32087_20191111_STHS	2006198	793.516666666667	44.8333333333333	430.134722222223	560.399007936508	0	284.9	5305.27784391535	1088.64587301587	2037.72592592593	26.9375	416.09375	415.456635802469	208.689814814815	0	0	0	6.6	0	0.240740740740741	0	0	62.9333333333334	1163.92314814815	0	956.222222222223	589.007777777778	0	48.3842592592593	0	111.599814814815	337.079166666667	4275.06203703704	355.691666666667	0	2.5	0	519.342541152263	379.397222222222	519.76950617284	0	1985257.63549015
0159_AB18_26592_20191024_ST	1997984	333.283333333333	9.91666666666667	331.559027777778	396.690773809524	0	398.8	4784.26605489418	927.384999999999	1719.68333333333	46.21875	315.125	363.284722222222	217.208333333333	0.166666666666667	0	0	0	0	0.037037037037037	0	0	76.6	842.343981481481	0	470	452.893055555556	0	35.5625	0	80.9324074074074	285.976388888889	3461.44907407407	334.613888888889	0	2.94444444444445	0	623.608024691358	309.833333333333	441.541728395062	0	1980722.07647377
0159_AZ03_32085_20191015_ST	1980689	485.083333333333	1.44444444444444	320.813888888889	386.480357142857	0	231.3	4211.69847883598	899.046547619047	1605.42037037037	48	266.4375	339.679783950617	174.507175925926	0.5	0	0	2.2	0	0	0	0	54.3	812.311111111111	0	616	420.144166666667	0	31.0057870370371	0	71.9820833333333	326.623611111111	3392.1037037037	334.609722222222	0	4.94444444444445	0	579.066277189888	299.114444444444	442.297971781305	0	1964331.88479644
