sample_id	total	oxidoreductase_complex	glycine_cleavage_complex	ribonucleoside_diphosphate_reductase_complex	nitrate_reductase_complex	formate_dehydrogenase_complex	glycerol_3_phosphate_dehydrogenase_complex	glycolate_oxidase_complex	ferredoxin_hydrogenase_complex	photosystem_II_oxygen_evolving_complex	procollagen_proline_4_dioxygenase_complex	nitrogenase_complex	glycine_reductase_complex	NADH_dehydrogenase_complex	sarcosine_oxidase_complex	dihydrolipoyl_dehydrogenase_complex	isocitrate_dehydrogenase_complex__NAD__	electron_transfer_flavoprotein_complex	pyruvate_dehydrogenase_complex	respiratory_chain_complex_III	succinate_dehydrogenase_complex	catalase_complex	GMP_reductase_complex	superoxide_dismutase_complex	ferroxidase_complex	Remaining
0159_AQ29_10031_20171026_ST	3182899	0	537	5	38.1666666666667	314	2922.33333333333	3	129.5	5.25	0	0	282	59.3333333333333	0	35.5	1.25	0	663.5	0.625	0.25	0	11	0	23	3177868.29166666
0159_AK37_71032_20180824_ST	3175406	0	280.75	136.5	526.166666666667	1156.08333333333	2729.83333333333	1	16.75	10	0	1	117	52.75	0	26.9375	0.5	0	476.625	1.25	14.25	0	133	0	29.6666666666667	3169695.9375
0159_AB10_26109_20180907_ST	3171634	0	303	1	77.8333333333333	342.833333333333	2900.66666666667	2	23.5	0	0	0	153	79.4166666666665	0	4.75	0.75	0	134	0.5	0	0	15	0	0.333333333333333	3167595.41666666
0159_AY44_33042_20170924_ST	3171400	1.5	260	51	40.6666666666667	409.166666666667	3133.16666666667	1	18.75	2.5	0	1	59	69.1666666666665	0	5	1.125	0	118.5	0	0	0	15	0	4	3167209.45833333
0159_AA34_42168_20190116_ST	3164486	0	321	28	73.3333333333333	329.333333333333	2983.5	4	15.75	0	0	0	222	127.833333333333	0	6.375	0.25	0	269.5	0	0	0	13	0	30	3160062.125
0159_AB18_100802_20190911_ST	3153874	0	411.5	54	102	382.25	2830	4	21.5	13.5	0	7	123	78.2499999999998	0	6.75	0.75	0	165.75	1.5	1	0	31	0	29.6666666666667	3149610.58333333
0159_AY44_33046_20171003_ST	3153343	1.5	477	116	247.833333333333	500.75	2856.83333333333	15	179.75	0	0	0	127	195.666666666667	0	50.2083333333333	0.75	0	292	0.25	3.5	0	44	0	34	3148200.95833333
0159_AB18_26541_20190911_ST	3143565	0	313.25	53	15.3333333333333	117	3998.16666666667	0	60.75	8	0	0	151	33.3333333333333	0	4.75	0	0	119	0	0	0	86	0	49	3138556.41666667
0159_AH05_15001_20171211_ST	3114308	0	489	74	114.5	610.333333333333	3025.66666666667	20	103.25	0	0	0	467	126	0	3.75	0	0	353.25	0	0	0	81	0	40.3333333333333	3108799.91666667
0159_AY44_33000_20171025_ST	3095136	0	276.25	2	2.5	333.666666666667	3206.16666666667	0	46.25	33.5	0	0	89	42.5	0	21.125	0.375	0	143.5	0.75	0	0	2	0	1	3090935.41666667
0159_AA34_42098_20180531_ST	3084609	0	394.5	907.5	4119.33333333333	8482.83333333333	5326.33333333333	687	810	0	0	558	3	220.5	0	230.333333333333	0	0	2492	0	82.25	0	977	0	131.333333333333	3059187.08333334
0159_AP39_21380_20180330_ST_E21	3070016	0	385	35	88.1666666666667	412	2433.16666666667	11	62.5	3.25	0	0	74	77.6666666666668	0	3.5	1.5	0	132.5	0	1	0	22	0	3	3066270.75
0159_AC15_76048_20201027_ST	3064154	0	361	84.5	79.5	272.333333333333	2946	2	6.75	11.25	0	1.5	93	88.0000000000002	0	3.75	0.375	0	144.5	0.375	0.5	0	36	0	52	3059970.66666667
0159_AY44_33019_20170913_ST	3062314	0	366	39	105.5	288.333333333333	2621.16666666667	5	48.25	0.25	0	0	190	61.6666666666668	0	8.75	0.25	0	115	0	0.25	0	32	0	27	3058405.58333333
0159_AZ03_32086_20191018_ST	3061589	0	444.5	70	446.666666666667	898.666666666667	3164.83333333333	3	158	0.25	0	29.5	176	91.1666666666665	0	46.875	0.5	0	678	0.125	8.75	0	74	0	55.3333333333333	3055242.83333334
0159_AQ29_10017_20170918_ST	3049024	0	510	2	77.1666666666667	77.8333333333333	2383.33333333333	2	73.25	0	0	0	80	162.916666666667	0	12.625	0.125	0	154.75	0.375	0.166666666666667	0	7	0	0	3045480.45833333
0159_AQ11_10133_20181210_ST	3025892	0	424.5	149	31.3333333333333	921.833333333333	3098	2	196	0	0	0.5	203	45.6666666666667	0	3.95833333333333	0.625	0	196.25	0	0	0	33	0.2	26.6666666666667	3020559.46666667
0159_AB18_26458_20190312_ST	3015695	0	263	59	109.833333333333	583.666666666667	2799	4	23.5	18.75	0	1	94	57.0833333333333	0	6.25	0	0	96.25	0.125	0	0	37	0	18	3011524.54166667
0159_AB18_30364_20190723_ST	2999342	0	422.5	2	39.8333333333333	119.666666666667	2487.5	2.5	82.25	1	0	0.5	116	112.25	0	4.125	0	0	127.5	0.125	0.25	0	2	0	1.33333333333333	2995820.66666667
0159_AA34_42129_20190318_ST	2991427	0	459	57.5	120.166666666667	314.333333333333	2797	5	37.25	0.75	0	0	219	124.666666666667	0	3.625	0.5	0	153.75	0	0	0	17	0	39.6666666666667	2987077.79166667
0159_AA34_42497_20191019_ST	2987782	0	430	185	206.333333333333	195.666666666667	3243.83333333333	3	55.5	0	0	0	118	41.8333333333333	0	5	0.75	0	122.5	0	0.5	0	126	0	68.3333333333333	2982979.75
0159_AA34_42318_20190102_ST	2937924	0	644	173	92	365.333333333333	2769.66666666667	1	422.5	0	0	0	395	206.916666666667	0	174	0.5	0	744	2.5	1.5	0	73	0	53.3333333333333	2931805.75
0159_AP39_21009_20171107_ST	2933449	0	149	40	45.3333333333333	169.333333333333	5071	7	25.25	0	0	0	38	7.16666666666667	0	1.5	1	0	66.5	0	0.75	0	55	0	8.33333333333333	2927763.83333334
0159_AP39_21020_20171127_ST	2929665	1	385.25	27	40	225.833333333333	2560.16666666667	4	54.75	0	0	3	92	126.583333333333	0	13.125	0	0.5	190	0.25	0.5	0	48	0	25.3333333333333	2925867.70833333
0159_AA34_42165_20180723_ST	2924134	0	350	54.5	82.6666666666667	268.166666666667	2292.66666666667	3	10.25	0	0	0	308	88.6666666666668	0	8.5	0	0	258.75	0	0	0	26	0	31.3333333333333	2920351.5
0159_AB10_26355_20190211_ST	2912406	0	354.5	6	1.5	465	2339.5	1	16.75	0.25	0	1	153	36.9166666666667	0	6.125	0.875	0	288.5	0.125	0	0	0	0	4.33333333333333	2908730.625
