sample_id	total	transferase_complex	X1_3_beta_D_glucan_synthase_complex	ubiquitin_ligase_complex	glycosylphosphatidylinositol_N_acetylglucosaminyltransferase__GPI_GnT__complex	palmitoyltransferase_complex	alpha_alpha_trehalose_phosphate_synthase_complex__UDP_forming_	acetolactate_synthase_complex	CAAX_protein_geranylgeranyltransferase_complex	protein_farnesyltransferase_complex	Rab_protein_geranylgeranyltransferase_complex	serine_pyruvate_aminotransferase_complex	oligosaccharyltransferase_complex	aspartate_carbamoyltransferase_complex	riboflavin_synthase_complex	cellulose_synthase_complex	protein_N_acetylglucosaminyltransferase_complex	ubiquitin_conjugating_enzyme_complex	mannosyltransferase_complex	decaprenyl_diphosphate_synthase_complex	Atg12_Atg5_Atg16_complex	methyltransferase_complex	oxoglutarate_dehydrogenase_complex	methionine_adenosyltransferase_complex	transferase_complex__transferring_phosphorus_containing_groups	inositol_phosphoceramide_synthase_complex	SUMO_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_II_complex	acetyltransferase_complex	dehydrodolichyl_diphosphate_synthase_complex	Bre1_Rad6_ubiquitin_ligase_complex	UBR1_RAD6_ubiquitin_ligase_complex	MUB1_RAD6_UBR2_ubiquitin_ligase_complex	RAD6_UBR2_ubiquitin_ligase_complex	RSP5_BUL_ubiquitin_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_I_complex	Remaining
0159_AB18_105120_20191018_ST	1599829	0	0	0.25	0	0	0	16	0	0	0	0	0	320	448	0	103.416666666667	0	0	0	0	30	1	0	10796.75	0	3	0	1	0	0	0	0	0	0	0	1588109.58333333
0159_AP39_21144_20180121_ST	1592847	0	0	0.2625	0	0	3	7	0	0	0	0	0	305.4	381	0	6	0	0	0	0	20	13.75	0	10384.75	0	223	0	0.4375	0	0	0	0	0	0	0	1581502.4
0159_AQ22_10401_20171013_ST	1586735	0	0	0	0	0	0	0	0	0	0	0	0	343	459	0	4.83333333333333	0	0	0	0	30	81.5	0	12170.3333333333	0	0	0	0	0	0	0	0	0	0	0	1573646.33333333
0159_AY44_33265_20191106_ST	1584695	0	0	0.7625	0	0	1	15	0	0	1	0	0	274	207	0	14.3333333333333	0.277777777777778	0	0	0	80	3	0.25	12500.75	0	7	0	0.583333333333333	0.25	0.111111111111111	0.0555555555555555	0.0555555555555555	0.0555555555555555	0	0	1571589.51527778
0159_AJ09_760049_20191008_ST	1575962	0	0	0	0	0.166666666666667	1	18	0	0	0	0	0	296.6	414	0	33.1666666666667	0	0	0	0	20	18.6458333333333	0	10998.4166666667	0	5	0	0.75	0	0	0	0	0	0	0	1564156.25416667
0159_BE31_82021_20191230_ST	1575533	0	0	1.58333333333333	0	0	1	74	0	1	2	0	0.166666666666667	315.4	415	0	2.5	0.0277777777777777	0	0	0	34.5	61.1666666666665	0	10886.7083333333	0	25	0	3.18939393939394	0	0.111111111111111	0.0555555555555555	0.0555555555555555	0.0555555555555555	0	0	1563709.4800505
0159_AY44_33261_20191002_ST	1573935	0	0	0.5	0	0	0	16	0	0	0	0	0	421	407	0	89.9166666666665	0	0	0	0	51	0.0625	0	11734.1666666666	0	3	0	0.75	0	0	0	0	0	0	0	1561211.60416667
0159_AP39_21010_20171118_ST	1568108	0	0	0.75	0	0	2	46	0	0	0	0	0	319	374.5	0	0.666666666666665	0	0	0	0	9	24.375	0	11244.4166666666	0	25	0	0	0	0	0	0	0	0	0	1556062.29166667
0159_AJ09_750044_20191116_ST	1551638	0	0	0	0	0	1	7	0	0	0	0	0	352	463	0	0.25	0	0	0	0	8	2	0	11509.6666666666	0	26	0	0	0	0	0	0	0	0	0	1539269.08333333
0159_AQ29_10004_20170630_ST	1551105	1	0	1.08611111111111	0	0	0	16.5	0	0	1	0	0	218	246	0	8.16666666666665	0	0	0	0	61.25	2.25	0	12470.0416666666	0	1	0.25	1.58333333333333	0	0	0	0	0	0	0	1538076.87222222
0159_AA34_42471_20190830_ST	1541133	0	0.5	0	0	0	0	177	0	0	0	0	0	141.4	494	0	214.333333333334	0	0	0	0	211	173.25	0	14271.4583333333	0	0	0	0	0	0	0	0	0	0	0	1525450.05833333
0159_AV42_66170_20190905_ST	1530536	0	0	1.19166666666666	0	0.333333333333333	1	22	0	0	0	0	0	338.6	428	0	9	0	0	0	0	44	56.25	0	9540.5	0	1	0	0	0	0	0	0	0	0	0	1520094.125
0159_AA34_42461_20190814_ST	1524043	0	0	0	0	0	0	348	0	0	0	0	0	443.4	378.5	0	1.58333333333334	0	0	0	0	1	104.916666666667	0	10956.1666666666	0	0	0	0	0	0	0	0	0	0	0	1511809.43333333
0159_AA34_42487_20190921_ST	1516305	0	0	0	0	0	0	116	0	0	0	0	0	324.4	324	0	0.583333333333335	0	0	0	0	2	152.75	0	9400	0	0	0	0	0	0	0	0	0	0	0	1505985.26666667
0159_AY44_33305_20200110_ST	1515212	0	0	2.26666666666667	0	0	0	15	0	0	0	0	0	248	300.5	0	0.916666666666665	0	0	0	0	40	3.41666666666667	0	11298.1547619048	0	35	0	2.5	0	0	0	0	0	0	0	1503266.2452381
0159_AY44_33285_20191118_ST	1506391	0	0	0.5	0	0.166666666666667	0	31	0	0	0	0	0	405	404	0	76.6666666666665	0	0	0	0	47	4.5	0	11075.8333333334	0	8	0	0.25	0	0	0	0	0	0	0	1494338.08333333
0159_AZ03_32093_20191209_ST	1500172	0	0	0	0	0.333333333333333	0	17	0	0	0	0	0	377	426	0	28.75	0	0	0	0	13	4.625	0	9837.58333333335	0	7	0	0.5	0	0	0	0	0	0	0	1489460.20833333
0159_AZ03_32052_20190827_STHS	1498628	0	0.25	2.33333333333333	0	0.333333333333333	89	539	0	0	0	0	0	352	532	0	5.5	0	0	0	0.25	12	86.125	0	8902.99999999998	0	34	0	1.25	0	0	0	0	0	0	0	1488070.95833333
0159_AP39_21014_20171107_ST	1495923	0	0	0.5	0	0.666666666666667	0	33	0	0	0	0	0	236	239	0	0.833333333333335	0	0	0	0	26	19.125	0	9728.04166666665	0	1	0	1	0	0	0	0	0	0	0	1485637.83333333
0159_AB10_101585_20180920_ST	1495169	0	0	1.66666666666666	0	1	2	34.5	0	0	0	0	0	298.2	368	0	1.16666666666666	0	0	0	0	50	32.4375	0	10175.5833333334	0	0	0	1.75	0	0	0	0	0	0	0	1484202.69583333
0159_AY44_33272_20191114_ST	1494415	0	0	0.333333333333333	0	0	1	11	0	0	0	0	0	274.2	297.5	0	0	0	0	0	0	6	9.25	0	8682.91666666665	0	2	0	0	0	0	0	0	0	0	0	1485130.8
0159_AJ09_750005_20190925_ST	1492400	0	0	0.5	0	0.333333333333333	0	12	0	0	0	0	0	282.2	322.5	0	13.3333333333333	0	0	0	0	20.5	8.625	0	10406.9166666666	0	3	0	0.75	0	0	0	0	0	0	0	1481329.34166667
0159_AQ29_10077_20180415_ST	1491723	0	0	0	0	0	1	32	0	0	0	0	0	391	421.5	0	28.0833333333333	0	0	0	0	12	26.4375	0	10635	0	2	0	0	0	0	0	0	0	0	0	1480173.97916667
0159_AP39_21033_20171106_ST	1491336	0	0	0	0	0	1	20	0	0	0	0	0	280	380	0	1.83333333333334	0	0	0	0	19	13	0	9540.16666666665	0	56	0	0	0	0	0	0	0	0	0	1481025
0159_AZ03_32054_20190917_STLS	1484017	0	0	0.166666666666666	0	0.166666666666667	1	29	0	0	0	0	0	357.4	368	0	8.25	0	0	0	0	16	2.25	0	9886.58333333335	0	2	0	0	0	0	0	0	0	0	0	1473346.18333333
0159_AS41_40071_20190501_ST	1473425	0	0	2.16666666666667	0	0	3	43	0	0	0	0	0	233	346	0	1.16666666666666	0	0	0	0	18	28.8125	0	10591.5	0	12	0	0.75	0	0	0	0	0	0	0	1462145.60416667
0159_AA34_42489_20190928_ST	1465893	0	0	0	0	0	0	408	0	0	0	0	0	294	658	0	1.16666666666666	0	0	0	0	49	291	0	10227.3333333333	0	0	0	0	0	0	0	0	0	0	0	1453964.5
0159_AB10_26137_20180827_ST	1458302	0	0	0	0	0	1	21	0	0	0	0	0	293	369	0	16.4166666666667	0	0	0	0	10	8.5	0	9137.33333333335	0	2	0	0	0	0	0	0	0	0	0	1448443.75
0159_AB10_26267_20190116_ST	1453156	0	0	0.5	0	0	0	14	0	0	0	0	0.0833333333333333	333	368.5	0	40	0	0	0	0	14	5.0625	0	9591.66666666665	0	2	0	0.25	0	0	0	0	0	0	0	1442786.9375
