Target	CorrelatedName	Correlation
	nmndf_log_POS_00392.1301660	0.834
	nmndf_log_POS_00104.0527560	0.83254
	nmndf_log_NEG_00343.1231040	0.83218
	nmndf_nrcp_POS_00545.2592060	0.83194
	nmndf_log_NEG_00355.9197140	0.83186
	nmndf_log_POS_00238.9830360	0.83182
	nmndf_log_POS_00247.0924360	0.83059
	nmndf_log_POS_00334.1400460	0.83019
	nmndf_log_POS_00750.6905160	0.82915
	nmndf_log_POS_00321.9606060	0.82847
	nmndf_log_POS_00271.5966760	0.82827
	nmndf_nrcp_POS_00533.2333860	0.8281
	nmndf_log_POS_00541.7851860	0.82809
	nmndf_nrcp_POS_00215.0914160	0.82805
	nmndf_log_POS_00276.1190760	0.82767
	nmndf_log_POS_00542.1860060	0.82727
	nmndf_log_POS_00123.9277660	0.82669
	nmndf_nrcp_POS_00325.2011860	0.82614
	nmndf_log_POS_00268.9935860	0.82544
	nmndf_log_POS_00821.4561760	0.82539
	nmndf_nrcp_POS_00448.2754460	0.82534
	nmndf_nrcp_POS_00283.1904160	0.82528
	nmndf_nrcp_POS_00293.2111160	0.82518
	nmndf_sqrt_POS_00124.9283160	0.82499
	nmndf_nrcp_POS_00307.1904460.1	0.82471
	nmndf_log_POS_00227.1026260	0.82412
	nmndf_nrcp_POS_00129.0545660.1	0.82401
	nmndf_log_POS_00256.0927860	0.82394
	nmndf_log_POS_00188.0916860	0.82343
	nmndf_log_POS_00411.2319360	0.82313
	nmndf_log_POS_00171.1127560	0.82295
	nmndf_nrcp_POS_00238.1648360	0.82257
	nmndf_sqrt_POS_00124.9225060	0.82257
	nmndf_log_POS_00183.1015460	0.82226
	nmndf_log_POS_00267.1203060	0.82225
	nmndf_nrcp_POS_00895.5436260	0.82172
	nmndf_log_POS_00320.9653360	0.8205
	nmndf_log_POS_00267.0975060	0.82036
	nmndf_log_POS_00223.1539460	0.82015
	nmndf_nrcp_POS_00109.0647460	0.81995
	nmndf_log_POS_00248.9649860	0.81988
	nmndf_nrcp_POS_00269.1598160	0.81959
	nmndf_log_POS_00263.0873560	0.81928
	nmndf_sqrt_POS_00276.8712760	0.81917
	nmndf_log_POS_00159.9454160	0.8186
	nmndf_log_POS_00615.3332360	0.81834
	nmndf_nrcp_POS_00370.2590160	0.81811
	nmndf_log_POS_00246.1447460	0.81775
	nmndf_log_POS_00709.3156260	0.81756
	nmndf_log_POS_00595.7484760	0.81734
	nmndf_log_POS_00146.0923360	0.8172
	nmndf_log_NEG_00330.0520740	0.8169
	nmndf_log_POS_00133.0800060	0.81659
	nmndf_log_POS_00751.3664160	0.81607
	nmndf_log_POS_00201.0272260	0.81605
	nmndf_log_POS_00265.9994460	0.81589
	nmndf_log_POS_00748.6920460	0.81575
	nmndf_log_POS_00201.0392660	0.81508
	nmndf_nrcp_POS_00257.1747060	0.81494
	nmndf_log_POS_00149.9609360.1	0.81486
	nmndf_log_POS_00241.1434060.1	0.81388
	nmndf_nrcp_POS_00428.2856160	0.81359
	nmndf_log_POS_00798.4598260	0.81313
	nmndf_nrcp_POS_00319.1728760	0.81307
	nmndf_log_POS_00166.0861860	0.81306
	nmndf_log_POS_00183.1015560	0.81296
	nmndf_log_POS_00345.1406160	0.81283
	nmndf_nrcp_POS_00355.2115160	0.8122
	nmndf_nrcp_POS_00273.1332160	0.812
	nmndf_log_POS_00135.9770960	0.81187
	nmndf_sqrt_POS_00428.8206160	0.81148
	nmndf_log_POS_00703.3410860	0.81115
	nmndf_nrcp_POS_00283.1750960	0.8107
	nmndf_log_POS_00332.9265260	0.80986
	nmndf_log_POS_00366.1662060	0.80973
	nmndf_nrcp_POS_00283.1903960	0.80947
	nmndf_nrcp_POS_00089.0596760	0.8094
	nmndf_log_POS_00143.9952960	0.80934
	nmndf_log_POS_00464.1988260	0.80925
	nmndf_log_POS_00161.0919860	0.80912
	nmndf_sqrt_POS_00098.9840460	0.80908
	nmndf_nrcp_POS_00207.1227060	0.80898
	nmndf_log_POS_00227.1025960	0.80884
	nmndf_nrcp_POS_00087.0440260	0.80877
	nmndf_log_POS_00253.1180060	0.8087
	nmndf_log_POS_00116.0533960	0.80851
	nmndf_nrcp_POS_00103.0389260	0.80828
	nmndf_nrcp_POS_00197.1172260	0.80827
	nmndf_nrcp_POS_00239.1488260	0.80803
	nmndf_nrcp_POS_00545.2545660	0.80777
	nmndf_log_POS_00797.4562660	0.80772
	nmndf_log_NEG_00241.9206440	0.80763
	nmndf_log_POS_00352.1649860	0.80748
	nmndf_log_POS_00308.9652860	0.80725
	nmndf_nrcp_POS_00415.1576760	0.80707
	nmndf_log_POS_00316.2116960	0.80702
	nmndf_log_NEG_00229.0232940	0.807
	nmndf_log_POS_00230.1862060	0.80679
	nmndf_nrcp_POS_00213.1096760	0.80617
	nmndf_sqrt_POS_00125.0232760	0.80612
	nmndf_sqrt_POS_00402.2335360.1	0.80571
	nmndf_log_POS_00181.9615960	0.80548
	nmndf_nrcp_POS_00302.1963460	0.80546
	nmndf_log_POS_00381.1770560	0.80519
	nmndf_nrcp_POS_00166.1575960	0.80514
	nmndf_nrcp_POS_00326.2174860	0.80479
	nmndf_nrcp_POS_00137.0807760	0.80467
	nmndf_log_POS_00087.0440260.3	0.80466
	nmndf_sqrt_POS_00208.8838760	0.80463
	nmndf_log_POS_00237.0037960	0.80457
	nmndf_log_POS_00365.9350560	0.80432
	nmndf_log_POS_00245.5983260	0.8043
	nmndf_sqrt_POS_00292.8453060	0.80387
	nmndf_nrcp_POS_00305.1571260	0.80387
	nmndf_log_POS_01082.5633160	0.80372
	nmndf_log_POS_00252.9986960	0.80368
	nmndf_nrcp_POS_00332.2164160	0.80366
	nmndf_log_POS_00229.1182160	0.80361
	nmndf_log_POS_00579.7743360	0.80358
	nmndf_log_POS_00177.1022060	0.80333
	nmndf_log_POS_00226.1185960	0.80254
	nmndf_log_NEG_00371.1571340	0.80234
	nmndf_log_POS_00270.1084060	0.80212
	nmndf_nrcp_POS_00151.0964760	0.80167
	nmndf_nrcp_POS_00233.0995460	0.80165
	nmndf_nrcp_POS_00182.1175560	0.80153
	nmndf_nrcp_POS_00245.1383160	0.80141
	nmndf_log_POS_00187.1440760	0.8011
	nmndf_nrcp_POS_00177.1121760	0.80101
	nmndf_log_POS_00176.0917060	0.80094
	nmndf_log_POS_00423.1210460	0.80092
	nmndf_log_POS_00237.0850560	0.80084
	nmndf_log_POS_00148.0603360	0.80068
	nmndf_sqrt_POS_00680.7046460	0.80067
	nmndf_sqrt_NEG_00225.8974140	-0.80113
	nmndf_sqrt_NEG_00118.9307040	-0.80183
	nmndf_orig_POS_00285.8576160	-0.80928
	nmndf_log_NEG_00114.9516240	-0.81303
	nmndf_log_NEG_00259.8180040	-0.81322
	nmndf_orig_NEG_00132.9233840	-0.81349
	nmndf_sqrt_NEG_00238.0529640	-0.81942
	nmndf_sqrt_NEG_00441.6816740	-0.82798
