SampleID	ProportionKept
0262.HCF024.20240208.DOD.CS	0.972290809327846
0262.HCF024.20240909.DOD.CS	0.50363362128068
0262.HCF024.20240924.DOD.CS	0.151979565772669
0262.HCF025.20231109.DOD.CS	0.569832402234637
0262.HCF025.20231116.DOD.CS	0.762931034482759
0262.HCF025.20231116.DOD.CS.2	1
0262.HCF025.20240909.DOD.CS	0.541367623604466
0262.HCF025.20240916.DOD.CS	0.454401686874012
0262.HCF026.20231109.DOD.CS	0.920199501246883
0262.HCF026.20231116.DOD.CS	0.448743718592965
0262.HCF026.20240208.DOD.CS	0.817379018014836
0262.HCF026.20240910.DOD.CS	0.668548756294827
0262.HCF026.20240918.DOD.CS	0.499238037183785
0262.HCF027.20231109.DOD.CS	0.871761658031088
0262.HCF027.20231116.DOD.CS	0.983555336293373
0262.HCF027.20240208.DOD.CS	0.771428571428571
0262.HCF027.20240910.DOD.CS	0.595024248472434
0262.HCF027.20240924.DOD.CS	0.544419828302409
0262.HCF028.20231130.DOD.CS	0.819391634980989
0262.HCF028.20231207.DOD.CS	0.998309382924768
0262.HCF028.20231207.DOD.CS.2	0.994582881906826
0262.HCF028.20240910.DOD.CS	0.862057820075418
0262.HCF029.20231130.DOD.CS	0.996319365798415
0262.HCF029.20231207.DOD.CS	0.99110534605763
0262.HCF029.20240229.DOD.CS	0.862704060276266
0262.HCF029.20240910.DOD.CS	0.528613419457851
0262.HCF029.20240918.DOD.CS	0.738339552238806
0262.HCF030.20231130.DOD.CS	0.997649336283186
0262.HCF030.20231207.DOD.CS	0.99269093078759
0262.HCF030.20231207.DOD.CS.2	0.88754877616176
0262.HCF030.20240229.DOD.CS	0.863636363636364
0262.HCF030.20240910.DOD.CS	0.528988685203052
0262.HCF030.20240918.DOD.CS	0.432244392018873
0262.HCF031.20231130.DOD.CS	0.998724164327635
0262.HCF031.20231207.DOD.CS	0.999488752556237
0262.HCF031.20240229.DOD.CS	0.994505494505495
0262.HCF031.20240911.DOD.CS	0.412105037596914
0262.HCF031.20240919.DOD.CS	0.50934909721776
0262.HCF032.20231130.DOD.CS	0.990523279769262
0262.HCF032.20231207.DOD.CS	0.999765533411489
0262.HCF032.20240911.DOD.CS	0.00811669883074129
0262.HCF033.20231130.DOD.CS	0.998211091234347
0262.HCF033.20231207.DOD.CS	0.997554468652735
0262.HCF033.20240229.DOD.CS	0.994736309343051
0262.HCF033.20240911.DOD.CS	0.574133020606467
0262.HCF034.20231130.DOD.CS	0.999198396793587
0262.HCF034.20231207.DOD.CS	0.998000499875031
0262.HCF034.20240229.DOD.CS	0.749187180678124
0262.HCF034.20240911.DOD.CS	0.9331617796438
0262.HCF034.20240918.DOD.CS	0.000329055610398157
0262.HCF035.20240125.DOD.CS	0.86150234741784
0262.HCF035.20240201.DOD.CS	0.651124338624339
0262.HCF035.20240911.DOD.CS	0.596717994829718
0262.HCF035.20240918.DOD.CS	0.258226436140547
0262.HCF036.20240125.DOD.CS	0.998995983935743
0262.HCF036.20240201.DOD.CS	0.994971715901948
0262.HCF036.20240911.DOD.CS	0.792255319148936
0262.HCF036.20240924.DOD.CS	0.299931908537791
0262.HCF037.20240125.DOD.CS	0.703635014836795
0262.HCF037.20240201.DOD.CS	0.628393135725429
0262.HCF037.20240912.DOD.CS	0.251863281704903
0262.HCF037.20240919.DOD.CS	0.27577853391523
0262.HCF038.20240125.DOD.CS	0.993792033109157
0262.HCF038.20240201.DOD.CS	0.791362126245847
0262.HCF038.20240912.DOD.CS	0.522260149611446
0262.HCF038.20240919.DOD.CS	0.348567071803382
0262.HCF039.20240125.DOD.CS	0.904103793541108
0262.HCF039.20240912.DOD.CS	0.383125173466556
0262.HCF039.20240919.DOD.CS	0.414695626601689
0262.HCF040.20240125.DOD.CS	0.988059701492537
0262.HCF040.20240912.DOD.CS	0.338109992254067
0262.HCF040.20240919.DOD.CS	1
0262.HCF041.20240125.DOD.CS	0.772291466922339
0262.HCF041.20240201.DOD.CS	0.676850984067479
0262.HCF041.20240912.DOD.CS	0.512922882958605
0262.HCF041.20240919.DOD.CS	0.788518969140582
0262.HCF042.20240912.DOD.CS	0.498622538596653
0262.HCF042.20240919.DOD.CS	0.990772219524041
0262.HCF043.20240125.DOD.CS	0.774185102762142
0262.HCF043.20240201.DOD.CS	0.995244334449459
0262.HCF043.20240923.DOD.CS	0.364458770926484
0262.HCF043.20241001.DOD.CS	0.988899167437558
0262.HCF044.20240215.DOD.CS	0.796829505014558
0262.HCF044.20240222.DOD.CS	0.966386554621849
0262.HCF044.20240923.DOD.CS	0.348562229377151
0262.HCF045.20240215.DOD.CS	0.666162380231972
0262.HCF045.20240923.DOD.CS	0.895983314270336
0262.HCF045.20241001.DOD.CS	0.580003001050368
0262.HCF046.20240215.DOD.CS	0.992667963489451
0262.HCF046.20240222.DOD.CS	0.977479182437547
0262.HCF046.20240923.DOD.CS	0.715311692042517
0262.HCF046.20241001.DOD.CS	0.873125720876586
0262.HCF047.20240215.DOD.CS	0.995263724434876
0262.HCF047.20240222.DOD.CS	0.871482176360225
0262.HCF047.20240924.DOD.CS	0.0434865900383142
0262.HCF047.20241001.DOD.CS	0.298943235453824
0262.HCF048.20240307.DOD.CS	0.983594048073254
0262.HCF048.20240321.DOD.CS	0.818867924528302
0262.HCF048.20240924.DOD.CS	0.18076001369394
0262.HCF048.20241001.DOD.CS	0.761529431494214
0262.HCF049.20240307.DOD.CS	0.991254919108002
0262.HCF049.20240321.DOD.CS	0.888144329896907
0262.HCF049.20240924.DOD.CS	0.0320604357639689
0262.HCF049.20241010.DOD.CS	0.440094800868455
0262.HCF050.20240307.DOD.CS	0.960219478737997
0262.HCF050.20240924.DOD.CS	0.226016409222166
0262.HCF051.20240307.DOD.CS	0.992870106300233
0262.HCF051.20240924.DOD.CS	0.735149994024142
0262.HCF051.20241001.DOD.CS	0.99870987520278
0262.HCF052.20240411.DOD.CS	0.966982922201139
0262.HCF052.20241008.DOD.CS	0.337410547176043
0262.HCF053.20240411.DOD.CS	0.978142076502732
0262.HCF053.20241008.DOD.CS	0.373645058448459
0262.HCF054.20240411.DOD.CS	0.892101551480959
0262.HCF054.20241008.DOD.CS	0.699139463099804
0262.HCF055.20240411.DOD.CS	0.836842105263158
0262.HCF055.20241010.DOD.CS	0.214099526066351
0262.HCF056.20241010.DOD.CS	0.432645674990952
0262.HCP001.20231108.DOD.CS	0.946153846153846
0262.HCP001.20231108.DOD.CS.2	0.988409272581934
0262.HCP001.20231115.DOD.CS	0.986704384724187
0262.HCP001.20240828.DOD.CS	0.24575715979285
0262.HCP001.20240905.DOD.CS	0.470959414885989
0262.HCP002.20231108.DOD.CS	0.996936919689863
0262.HCP002.20231115.DOD.CS	0.99229715850736
0262.HCP002.20240828.DOD.CS	0.406049305987156
0262.HCP002.20240905.DOD.CS	0.43568958675812
0262.HCP003.20231108.DOD.CS	0.997461468721668
0262.HCP003.20231115.DOD.CS	0.999564775859568
0262.HCP003.20240911.DOD.CS	0.783195303967965
0262.HCP004.20231108.DOD.CS	0.920763022743947
0262.HCP004.20231115.DOD.CS	0.994973902957665
0262.HCP004.20240911.DOD.CS	1
0262.HCP004.20240918.DOD.CS	0.435585858030461
