sample_id	total	1.-.-.-	1.-.-.- ;1.1.1.- ;1.1.1.290	1.-.-.- ;1.1.1.100	1.-.-.- ;1.1.1.125	1.-.-.- ;1.1.1.131	1.-.-.- ;1.1.1.18	1.-.-.- ;1.1.1.274
0159_AP39_21414_20180831_ST_E21	1346186	4385	0	0	0	0	0	0
0159_AP39_21418_20180831_ST	5347	17	0	0	0	0	0	0
0159_AP39_21420_20180801_ST	6608	33	0	0	0	0	0	0
0159_AP39_21421_20180706_ST	1627	6	0	0	0	0	0	0
0159_AP39_21422_20180823_ST	6989	5	0	0	0	0	0	0
0159_AP39_21423_20181004_ST	46733	155	0	0	0	0	0	0
0159_AP39_21424_20180712_ST	396	1	0	0	0	0	0	0
0159_AP39_21425_20180925_ST	314	1	0	0	0	0	0	0
0159_AP39_21426_20180801_ST	1225	4	0	0	0	0	0	0
0159_AP39_21427_20180920_ST	1357	4	0	0	0	0	0	0
0159_AP39_21430_20180723_ST	11073	42	0	0	0	0	0	0
0159_AP39_21434_20180620_ST	3303	11	0	0	0	0	0	0
0159_AP39_21435_20180531_ST	7556	26	0	0	0	0	0	0
0159_AP39_21436_20180613_ST	548	0	0	0	0	0	0	0
0159_AP39_21437_20180911_ST	14578	26	0	0	0	0	0	0
0159_AP39_21438_20180807_ST	28169	108	0	0	0	0	0	0
0159_AP39_21439_20181003_ST	7238	23	0	0	0	0	0	0
0159_AP39_21440_20180706_ST	2575	10	0	0	0	0	0	0
0159_AP39_21443_20180927_ST	1842	1	0	0	0	0	0	0
0159_AP39_21444_20180730_ST	2432	3	0	0	0	0	0	0
0159_AP39_21446_20180706_ST	130	0	0	0	0	0	0	0
0159_AP39_21447_20180809_ST_E21	1513371	7182	0	0	0	0	0	0
0159_AP39_21448_20180809_ST	4169	20	0	0	0	0	0	0
0159_AP39_21450_20180907_ST	107762	223	0	0	0	0	0	0
0159_AP39_21551_20180917_ST	57910	147	0	0	0	0	0	0
0159_AP39_21552_20180925_ST	24699	76	0	0	0	0	0	0
0159_AP39_21554_20181009_ST	490725	1446	0	0	0	0	0	0
0159_AP39_21555_20181108_ST	16590	55	0	0	0	0	0	0
0159_AP39_21557_20181015_ST	231651	567	0	0	0	0	0	0
0159_AP39_21600_20181107_ST	83388	331	0	0	0	0	0	0
0159_AP39_21661_20181102_ST	4081	15	0	0	0	0	0	0
0159_AP39_21662_20180927_ST	3544	15	0	0	0	0	0	0
0159_AP39_21685_20190116_ST	530152	1667	0	0	0	0	0	0
0159_AP39_21699_20180811_ST	33924	99	0	0	0	0	0	0
0159_AP39_21705_20181119_ST	36603	124	0	0	0	0	0	0
0159_AP39_21706_20190125_ST	24137	61	0	0	0	0	0	0
0159_AP39_21711_20181107_ST	5112	16	0	0	0	0	0	0
