Variable	beta
sqrt_NEG_00113.0244540.1	1.04237753916314
log_NEG_00231.0487340	1.84302112267102
log_POS_00261.1445160	1.7273231193574
log_POS_00327.2013160	2.13900648025983
log_POS_00111.0439860	2.10704819715519
orig_POS_00165.0909660.1	1.17479084451714
log_NEG_00111.0087540	4.23129455461146
POS_00231.1203060	1.78776813471753
sqrt_POS_00163.0389360	1.33032655491269
log_POS_00548.3463460	2.6836622787331
sqrt_POS_00277.1797660	1.17806745199702
log_POS_00079.4978360	1.1840217214496
log_POS_00245.1359060	1.97488568432316
orig_POS_00282.0869260	1.12806316263025
NEG_00145.0619140	2.61122760495885
orig_NEG_00434.0131540	1.3775957459103
log_POS_00106.9505160	2.68879752810702
orig_POS_00446.2961260	1.62290684875802
log_POS_00173.0290660	1.52477011086171
log_POS_00504.3095660	1.46119245593066
log_POS_00134.9724360	1.9684029028725
sqrt_POS_00258.1100660	1.16210480322196
sqrt_POS_00180.0654860	1.34394441891258
NEG_00299.0265440	2.39770676145158
sqrt_NEG_00119.0350740	1.28994087020795
log_NEG_00237.9337940	0.393569709293523
POS_00475.2482960	1.57497384200853
log_NEG_00310.1510140	2.21650164798293
log_NEG_00164.0387940	1.6671523710768
log_POS_00251.1489260	1.10715131393911
log_POS_00132.0654460	1.83005187581402
sqrt_POS_00206.9824660	1.67431878509422
log_POS_00150.0760160	1.72593116005363
log_POS_00363.9301160	2.40016694140162
POS_00151.0477160	2.55607238901888
log_POS_00159.0140560	2.23444902051444
log_NEG_00348.8958040	1.95118662017683
log_NEG_00243.7555540	1.65525589113673
POS_00636.2945960	1.49734176238509
orig_NEG_01451.7549140	1.76253665539929
NEG_00071.0138840	1.78245979426909
log_NEG_00359.0986940	1.28492309772819
log_POS_00366.2389860	1.42919304704387
log_NEG_00153.0305640	3.37414535919237
orig_NEG_00243.9684540	1.12341509343273
POS_00511.2458560	2.44416766911944
log_POS_00158.0599960	2.31747740598403
sqrt_POS_00151.9833360	1.37005045596867
POS_00402.2337460	2.32091706632205
log_POS_00460.3119660	2.7463085150254
log_NEG_00361.1634840	2.24668952614694
sqrt_NEG_00373.0452540	7.41728625735386
POS_00140.5274660	1.74466975474158
log_POS_00132.0398760	1.47719187599125
log_POS_00340.2330460	1.78660838914919
orig_POS_00158.9639760	1.34038516566639
log_NEG_00199.0381440	3.60414665300226
log_NEG_00243.0624940	3.41515900933948
log_POS_00122.9244560	2.39283321769706
log_POS_00091.5045860	0.800554536321579
log_POS_00518.3540560	2.38923354816643
log_POS_00474.3275460	2.63584599011623
log_POS_00508.2965660	2.05886515239097
log_POS_00647.2792860	1.97904389217721
log_NEG_00233.0569240	1.87538259563793
NEG_00239.0168440	1.66622678890415
log_POS_00309.0778060	1.42884882059507
log_NEG_00190.8883540	2.54054473602628
log_POS_00083.0378760	1.99139550782226
log_POS_00107.0701860	4.81348973417724
log_NEG_00229.0694340	1.36297391074643
log_POS_00220.1179660	3.66577465190675
log_POS_00261.1445460	1.69046938231958
log_POS_00119.0176060	2.01259659507925
log_NEG_00121.9916840	2.59618422432895
POS_00471.2016360	2.72552708798677
log_POS_00459.2800760	1.57374768888342
POS_00179.0130560	2.00769461336082
POS_00103.0389060	1.44916037864
sqrt_POS_00131.5421260	1.19469614393375
POS_00325.2010060	1.52636384189517
log_POS_00169.0582960	3.06451917615233
orig_POS_00565.1657560	1.44663474934914
log_NEG_00107.0350740	1.45669579032554
orig_POS_00133.0800060	1.02341216635311
NEG_00199.0530740	1.87461198224408
sqrt_NEG_00119.0348740	10.4344229959393
POS_01436.6682960	2.46273714631562
NEG_00371.0660640	2.322686959593
log_POS_00220.0797860	1.45648310516708
sqrt_NEG_00203.0175040	6.25773197418673
log_POS_00164.0292460	2.52219677676494
NEG_00100.9336740	3.23678223259818
sqrt_POS_00366.2390060	2.01435929817504
log_POS_00116.9858460	2.15538326071181
NEG_00209.8340540	1.85443839876547
log_POS_00320.0799860	2.46025313508875
log_POS_00383.1159760	1.74112974322592
log_POS_00326.2174860	2.00771798044251
sqrt_NEG_00171.0275240	168190.758323087
log_POS_00299.0203260	3.05705453487097
log_POS_00325.1128760	1.75400879372622
log_POS_00244.0663660	1.83652292107683
sqrt_NEG_00247.9626440	32.0593147650982
orig_POS_00099.0439960	0.84205620801987
POS_00089.0029360	1.91206919802593
sqrt_POS_00146.0599860	1.88170658577773
log_POS_00129.0394260	2.01146516026252
log_POS_00159.9673460	2.04264051198671
log_POS_00718.8377760	3.3820313652683
log_POS_00310.9129960	2.238433150729
sqrt_NEG_00196.0615440	1.31701222754666
log_NEG_00157.0119740	2.19252761337998
sqrt_NEG_00104.0353840	2.23729687827744
log_NEG_00326.1457440	1.76717536443392
log_POS_00332.1916360	3.00509445841669
log_NEG_00366.1101440	1.47802695968981
log_POS_00131.0702360.1	2.71337685259411
log_POS_00246.1699760	1.36796033489872
log_NEG_00164.0717240	1.51860798520535
log_POS_00152.0303460	2.05570320681343
log_POS_00222.0396960	1.60071761587555
log_POS_00311.1642260.1	0.51643738375184
POS_00329.0307460	1.90369999987302
orig_POS_00207.1226960	0.991677276875085
log_POS_00132.0443460	1.71780369796472
orig_NEG_00310.0634540	1.2520932039231
sqrt_NEG_00161.9939140	2.38795972090453
log_NEG_00142.9962740	1.10040218003839
log_NEG_00089.0244940	1.49366100276802
POS_00174.9562560	2.55846794077896
log_NEG_00173.0068240	3.47866739834872
log_POS_00579.1440860	2.00264921712098
POS_00084.0807360	1.82442092684376
log_POS_00281.9226660	4.09761477118352
log_POS_00269.1594660	3.93469928951092
log_POS_00241.1547060	2.13073606430589
log_POS_00358.2437760	2.71013309887525
POS_00159.9817160	1.70487244210966
POS_00469.2949760	2.06717541519546
log_NEG_00082.9720340	1.12561929564235
log_NEG_00146.9830540	9.84828858196173
POS_00175.0577660	2.18914412028725
orig_NEG_00225.0617640	0.666667049873314
orig_POS_00332.0287960	1.92320583275922
POS_00488.2282060	1.86688728010408
sqrt_NEG_00124.9913940	1.5750148656226
sqrt_NEG_00672.8588740	1.22498549220852
orig_POS_00485.2897660	1.13616415847952
sqrt_POS_00225.9135660	1.21236302136156
POS_00344.9465760	2.00493169881097
sqrt_NEG_00304.0029140	1.73240065028583
sqrt_POS_00242.9825060	3.30904374672945
NEG_00222.8783040	1.65252473741488
log_POS_00264.0977760	1.78349704672728
log_POS_00228.9555360	2.7851643960481
POS_00290.1401060	1.88533123136889
log_POS_00626.3240560	5.49279849027102
POS_00239.1488360	2.07149027423134
log_POS_00385.1188760	1.44597422303329
sqrt_NEG_00175.0725140	2.21805463038584
POS_00134.9738360	1.53560197075168
sqrt_NEG_00257.0781740	2.66782080148556
log_NEG_00293.1146640	1.60981625420163
log_NEG_00267.1100140	1.77741640284997
log_POS_00327.2279660	7.68612801939325
log_NEG_00130.9441840	3.62617174658867
log_POS_00381.3154260	5.32732837064334
orig_POS_01557.6723960	3.14837641683546
log_POS_00580.1473860	1.81566586864069
log_NEG_00146.9831340	1.65365568805453
log_POS_00770.8510860	1.47952908961015
POS_00221.1171960	1.94997689975794
NEG_00373.0453240	2.45196388777874
POS_00141.5251860	1.88012181783374
sqrt_NEG_00187.0224140	57.928818874549
POS_00376.2179860	2.36829167592107
POS_00372.2594160	1.75023655702147
log_NEG_00520.9102640	2.42437219932414
log_POS_00239.0662160	1.63989535205756
NEG_00351.1411140	1.88250925958143
POS_01473.7112660	3.30386139133342
POS_00359.2470660	2.72070214296802
log_POS_00283.1750860	2.5171767374638
POS_00077.0384960	1.35557878165451
log_NEG_00223.9182940	1.32067239058537
POS_00118.0650760	1.37387961478957
sqrt_NEG_00293.0490740	2.14886627961067
log_POS_00329.0290960	2.17971592762456
log_POS_00181.0706160	2.13859814767642
log_NEG_00223.0284240	0.92474753320354
POS_00231.9867060	1.52749519599037
sqrt_NEG_00117.0193140	33016.6748677671
log_POS_00390.2337060	1.69006877420484
orig_POS_00344.2278460	0.90739228106917
POS_00635.3780160	1.6349448859497
log_POS_00102.9701760	2.21235261630632
sqrt_NEG_00452.9228340	4.16595888626717
log_POS_00101.0082760	1.45697077707353
orig_POS_00197.1536060	1.22236808912477
POS_00281.9046060	2.487453813857
log_POS_00597.1169360	1.88405987628383
log_POS_00074.0599960	2.52273158218738
log_POS_00371.2430660	2.32169094253222
log_POS_00129.0199860	1.68432888895167
sqrt_NEG_00201.9571540	1.31548891225665
log_NEG_00256.9909240	2.81689798499409
log_NEG_00219.8786640	1.64136928779794
POS_00204.1228160.1	1.28197784642351
POS_01420.6943260	1.9669600210153
NEG_00740.8458540	1.5837898877791
POS_00082.0517760	1.29203402009357
log_NEG_00095.0138940	14.0306258393714
sqrt_NEG_00193.0357540	1.43940663672912
NEG_00371.9010340	1.60983197125781
log_POS_00142.0348660	1.91638499146858
NEG_00200.9653640	3.04229548078901
log_POS_00131.0490460	1.14467090374853
orig_POS_00362.9264760	2.17862676232843
orig_POS_00503.3211560	0.907259783918898
log_POS_00330.1912560	2.15882812342725
orig_POS_00147.1167860	0.934010683253124
log_POS_00138.1357960	5.41054390366202
log_POS_00103.0059160	2.41079401091909
log_POS_00139.0753260	2.70251505590257
log_POS_00080.9478360	1.58927831221563
POS_00147.0763160	2.60048827354129
orig_POS_00516.3532660	1.31048055023745
log_POS_00273.1311460	0.761491562136569
log_POS_00161.0406660	1.69758388745348
orig_NEG_00156.9753440	1.45919376549206
orig_POS_00683.4071260	91257.6299252574
POS_00152.0317560	2.64119731665362
sqrt_NEG_00146.0822740	1.12699727575478
sqrt_POS_00197.9846260	3.46998003469706
log_POS_00249.1516360	5.24156589183941
log_POS_00175.0965660	2.41930847846466
POS_00134.0187760	2.368049586452
NEG_00264.9346240	1.34752073884083
log_NEG_00200.9653640.1	2.92855520546822
orig_POS_00179.1430160	0.921879432115705
log_POS_00263.1389660	2.44263826483426
log_POS_00120.0654660	2.45867963062969
sqrt_POS_00107.0490360	1.13031967560497
sqrt_NEG_00387.9849240	3.14086815847079
log_POS_00089.0596560	4.83841047875328
sqrt_NEG_00285.0830740	2.97848398659396
log_POS_00103.0541160	1.17109632934301
sqrt_POS_00138.0522660	1.30844803385809
log_NEG_00507.1217640	1.46783543368734
log_POS_00163.1076360	1.14042885012079
log_NEG_00297.0473940	2.87759290328503
log_POS_01437.6726760	4.80638605647366
POS_00270.1910860	2.00014620773946
sqrt_POS_00152.0705860	1.18367051523053
POS_00492.2747460	1.58196356544373
POS_00130.0497660	2.43959893848839
orig_POS_00420.8875760	3.88563108485258
log_POS_00198.0971560	2.04952711486982
sqrt_POS_00201.9559160	3.39562421904887
orig_POS_00203.0526460	0.766292366875208
log_POS_00471.1969160	553711.856388558
log_POS_00312.2018060	1.03372711234217
orig_POS_00498.9015060	3.92367252080884
POS_00384.2747060	1.58748492680366
log_NEG_00499.0722340	1.714049279507
log_POS_00339.2015660	7390.24884337729
sqrt_POS_00208.1331960	2.12222512681815
log_NEG_00237.0517240	1.78689324017172
log_POS_00361.1835160	32.2416703330382
orig_POS_00086.0963660	1.08644863224496
POS_00297.1848660	1.72527393102803
log_NEG_00412.0313240	1.50785210004484
log_POS_00258.1100160	2.14553190778165
POS_00416.2856560	1.14494523774092
orig_POS_00261.1307960	0.811723297322517
orig_POS_00348.0798360	5.746977708836
POS_00338.2116860	1.33851295236059
log_POS_00449.2149460	5354.32910396422
log_POS_00190.9119260	4.16903566661969
log_POS_00229.1182860	2.03740668267858
log_NEG_00241.0389940	1.51596476575115
POS_00328.2331560	2.32119895001821
POS_00146.0023960	2.51661433554734
log_NEG_00213.8895840	1.4587917713434
POS_00229.1546660	1.71887724972822
log_POS_00340.1967760	1.35412360764859
log_POS_00268.1755460	0.867402850016594
log_NEG_00227.1289540	3.33752839186716
log_POS_00142.0473860	1.93834476159842
orig_POS_00488.3371860	1.09195860712082
orig_POS_00197.1172360	1.57343244715602
orig_POS_00198.0849260	2.00807851716157
log_POS_00169.0970260	2.70482361648659
log_NEG_00241.0389640	0.875034391807851
POS_00126.0219160	2.24429208987378
log_NEG_00248.9605940	4.56582680909034
log_NEG_00240.0006540	2.96365202483035
POS_00289.1441060	2.56011536424599
orig_NEG_00099.9258640	4.94102918145892
log_NEG_00371.9010940	1.37363596295801
sqrt_NEG_00223.0976440	2.33546006328783
log_POS_00163.0025860	2.31008524597195
log_POS_00703.8668160	3.32931254117273
POS_00734.8113160	3.3781291236728
log_POS_00215.0239460	3.48376319875602
log_NEG_00236.1054940	1.97678991778907
log_POS_00091.0541060	1.30801096080783
sqrt_NEG_00297.9550840	6.47738212572812
sqrt_NEG_00184.0227040	2.04705578885431
log_POS_00269.1244460	2.3181819454022
log_NEG_00162.8934740	1.5674014287607
log_POS_00415.2538960	1.26094157243364
POS_00209.0493360	2.44854760726111
log_NEG_00221.1547440	1.81595318766462
POS_00105.0334460	1.46421137461528
log_NEG_00147.0298640	1.8984548852281
log_NEG_00271.1032740	1.11978841329492
log_POS_00203.0524860	2.97297269896398
POS_00277.0383560	2.6387825688271
log_NEG_00131.0713540	2.4050906581136
POS_00579.2725660	2.49641849193302
log_POS_00473.1932960	13.5969497171609
log_POS_01353.7095760	1.85020830193704
NEG_00144.9598240	2.19159634358284
NEG_00079.9574140	4.01241694514509
log_POS_00158.0296260	1.73676181675271
